,year,mmwr_week,Reporting Area,Meningococcal disease (continued); Other serogroups current week,Meningococcal disease (continued); Other serogroups previous 52 weeks maximum�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2019�,Meningococcal disease (continued); Other serogroups cummulative YTD for 2018�,Meningococcal disease (continued); Unknown serogroup current week,Meningococcal disease (continued); Unknown serogroup previous 52 weeks maximum�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2019�,Meningococcal disease (continued); Unknown serogroup cummulative YTD for 2018�,column labels in same order that data fields appears in each record below:
24,2019,4,New York City,0,0,0,0,0,1,1,0,
25,2019,4,Pennsylvania,0,0,0,0,0,2,0,0,
26,2019,4,East North Central,0,1,0,1,0,2,0,0,
27,2019,4,Illinois,0,1,0,0,0,0,0,0,
28,2019,4,Indiana,0,0,0,0,0,1,0,0,
29,2019,4,Michigan,0,0,0,0,0,1,0,0,
30,2019,4,Ohio,0,1,0,0,0,2,0,0,
31,2019,4,Wisconsin,0,1,0,1,0,1,0,0,
32,2019,4,West North Central,0,0,0,0,0,3,0,2,
33,2019,4,Iowa,0,0,0,0,0,1,0,0,
34,2019,4,Kansas,0,0,0,0,0,0,0,0,
35,2019,4,Minnesota,0,0,0,0,0,0,0,0,
36,2019,4,Missouri,0,0,0,0,0,3,0,2,
37,2019,4,Nebraska,0,0,0,0,0,1,0,0,
38,2019,4,North Dakota,0,0,0,0,0,0,0,0,
39,2019,4,South Dakota,0,0,0,0,0,0,0,0,
40,2019,4,South Atlantic,0,1,0,1,0,3,1,3,
41,2019,4,Delaware,0,0,0,0,0,1,0,0,
42,2019,4,District of Columbia,0,0,0,0,0,0,0,0,
43,2019,4,Florida,0,0,0,0,0,2,1,2,
44,2019,4,Georgia,0,1,0,1,0,1,0,0,
45,2019,4,Maryland,0,1,0,0,0,0,0,0,
46,2019,4,North Carolina,0,0,0,0,0,1,0,1,
47,2019,4,South Carolina,0,0,0,0,0,0,0,0,
48,2019,4,Virginia,0,0,0,0,0,1,0,0,
49,2019,4,West Virginia,0,1,0,0,0,0,0,0,
50,2019,4,East South Central,0,0,0,0,0,1,0,0,
51,2019,4,Alabama,0,0,0,0,0,1,0,0,
52,2019,4,Kentucky,0,0,0,0,0,1,0,0,
53,2019,4,Mississippi,0,0,0,0,0,1,0,0,
54,2019,4,Tennessee,0,0,0,0,0,0,0,0,
55,2019,4,West South Central,0,2,0,0,0,2,0,1,
56,2019,4,Arkansas,0,1,0,0,0,0,0,0,
57,2019,4,Louisiana,0,0,0,0,0,0,0,0,
58,2019,4,Oklahoma,0,1,0,0,0,0,0,0,
59,2019,4,Texas,0,1,0,0,0,2,0,1,
60,2019,4,Mountain,0,1,0,1,2,0,2,1,
61,2019,4,Arizona,0,0,0,0,1,0,1,0,
62,2019,4,Colorado,0,1,0,0,1,0,1,0,
63,2019,4,Idaho,0,1,0,1,0,0,0,0,
64,2019,4,Montana,0,0,0,0,0,0,0,0,
65,2019,4,Nevada,0,0,0,0,0,0,0,0,
66,2019,4,New Mexico,0,0,0,0,0,0,0,1,
67,2019,4,Utah,0,0,0,0,0,0,0,0,
68,2019,4,Wyoming,0,0,0,0,0,0,0,0,
69,2019,4,Pacific,0,1,0,0,0,3,4,10,
70,2019,4,Alaska,0,0,0,0,0,0,0,0,
71,2019,4,California,0,0,0,0,0,3,2,9,
72,2019,4,Hawaii,0,0,0,0,0,1,1,0,
73,2019,4,Oregon,0,0,0,0,0,1,1,1,
74,2019,4,Washington,0,1,0,0,0,2,0,0,
75,2019,4,U.S. Territories,0,0,0,0,0,0,0,0,
76,2019,4,American Samoa,0,0,0,0,0,0,0,0,
77,2019,4,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
78,2019,4,Guam,0,0,0,0,0,0,0,0,
79,2019,4,Puerto Rico,0,0,0,0,0,0,0,0,
80,2019,4,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
81,2019,4,Non-U.S. Residents,0,NC,0,NP,0,NC,0,NP,
82,2019,4,Total,0,3,0,3,3,7,9,18,
13,2019,5,"U.S. Residents, excluding U.S. Territories",0,3,0,5,1,7,12,26,
14,2019,5,New England,0,0,0,0,0,1,0,0,
15,2019,5,Connecticut,0,0,0,0,0,1,0,0,
16,2019,5,Maine,0,0,0,0,0,0,0,0,
17,2019,5,Massachusetts,0,0,0,0,0,1,0,0,
18,2019,5,New Hampshire,0,0,0,0,0,0,0,0,
19,2019,5,Rhode Island,0,0,0,0,0,0,0,0,
20,2019,5,Vermont,0,0,0,0,0,0,0,0,
21,2019,5,Middle Atlantic,0,1,0,0,0,3,1,4,
22,2019,5,New Jersey,0,0,0,0,0,1,0,1,
23,2019,5,New York (excluding New York City),0,1,0,0,0,1,0,1,
24,2019,5,New York City,0,0,0,0,0,1,1,1,
25,2019,5,Pennsylvania,0,0,0,0,0,2,0,1,
26,2019,5,East North Central,0,1,0,1,0,2,0,0,
27,2019,5,Illinois,0,1,0,0,0,0,0,0,
28,2019,5,Indiana,0,0,0,0,0,1,0,0,
29,2019,5,Michigan,0,0,0,0,0,1,0,0,
30,2019,5,Ohio,0,1,0,0,0,2,0,0,
31,2019,5,Wisconsin,0,1,0,1,0,1,0,0,
32,2019,5,West North Central,0,0,0,0,0,3,0,2,
33,2019,5,Iowa,0,0,0,0,0,1,0,0,
34,2019,5,Kansas,0,0,0,0,0,0,0,0,
