,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive, all serogroups current week","Meningococcal diseases, invasive, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive, all serogroups cummulative for 2006","Meningococcal diseases, invasive, all serogroups cummulative for 2005","Meningococcal diseases, invasive, serogroup unknown current week","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median ","Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum ","Meningococcal diseases, invasive, serogroup unknown cummulative for 2006","Meningococcal diseases, invasive, serogroup unknown cummulative for 2005",Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2006,Pertussis cummulative for 2005
79,2006,2,Alaska,0,0,1,0,0,0,0,1,0,0,1,1,11,1,1
80,2006,2,Calif.,1,2,11,2,6,1,2,11,2,6,0,26,145,0,187
81,2006,2,Hawaii,0,0,2,0,1,0,0,1,0,1,0,3,10,0,9
82,2006,2,Oreg.,0,0,6,0,4,0,0,2,0,0,0,10,30,0,58
83,2006,2,Wash.,0,0,25,0,0,0,0,11,0,0,0,12,59,0,0
84,2006,2,Amer. Samoa,U,0,1,0,0,U,0,1,U,U,U,0,0,U,U
85,2006,2,C.N.M.I.,U,0,0,0,0,U,0,0,U,U,U,0,0,U,U
86,2006,2,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2006,2,P.R.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
88,2006,2,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2006,3,UNITED STATES,13,19,46,36,83,10,12,30,29,47,75,424,593,347,"1,386"
23,2006,3,NEW ENGLAND,0,1,5,0,9,0,0,2,0,3,1,26,49,50,96
24,2006,3,Conn.,0,0,3,0,0,0,0,2,0,0,0,1,4,0,7
25,2006,3,Maine,0,0,1,0,0,0,0,1,0,0,0,0,5,0,5
26,2006,3,Mass.,0,0,3,0,7,0,0,2,0,2,1,19,39,49,75
27,2006,3,N.H.,0,0,2,0,0,0,0,2,0,0,0,1,15,0,0
28,2006,3,R.I.,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0
29,2006,3,Vt.,0,0,1,0,2,0,0,1,0,1,0,1,24,1,9
30,2006,3,MID. ATLANTIC,4,3,10,9,11,3,2,9,8,7,18,24,48,45,117
31,2006,3,N.J.,0,0,4,0,2,0,0,4,0,2,0,4,9,0,16
32,2006,3,N.Y. (Upstate),2,1,4,2,3,1,0,3,1,1,10,11,38,14,25
33,2006,3,N.Y. City,0,0,3,2,2,0,0,3,2,2,0,2,6,0,7
34,2006,3,Pa.,2,1,3,5,4,2,1,3,5,2,8,7,28,31,69
35,2006,3,E.N. CENTRAL,0,2,9,3,8,0,1,6,2,7,23,63,144,54,368
36,2006,3,Ill.,0,0,4,0,1,0,0,4,0,1,0,15,30,1,62
37,2006,3,Ind.,0,0,3,0,1,0,0,2,0,1,0,6,23,0,0
38,2006,3,Mich.,0,1,3,1,3,0,0,3,0,2,1,4,26,2,19
39,2006,3,Ohio,0,1,5,2,2,0,1,4,2,2,22,20,59,51,163
40,2006,3,Wis.,0,0,2,0,1,0,0,2,0,1,0,22,54,0,124
41,2006,3,W.N. CENTRAL,1,1,5,1,6,0,0,3,0,3,15,61,205,56,179
42,2006,3,Iowa,0,0,2,0,1,0,0,2,0,0,0,13,91,1,65
43,2006,3,Kans.,0,0,1,0,1,0,0,1,0,1,9,10,29,32,23
44,2006,3,Minn.,0,0,2,0,0,0,0,1,0,0,0,2,148,0,1
45,2006,3,Mo.,1,0,3,1,4,0,0,2,0,2,6,9,39,23,32
46,2006,3,Nebr.,0,0,1,0,0,0,0,1,0,0,0,2,12,0,24
47,2006,3,N. Dak.,0,0,1,0,0,0,0,1,0,0,0,0,28,0,9
48,2006,3,S. Dak.,0,0,1,0,0,0,0,0,0,0,0,3,9,0,25
49,2006,3,S. ATLANTIC,2,4,11,3,14,2,2,6,2,9,15,23,90,44,70
50,2006,3,Del.,0,0,1,0,0,0,0,1,0,0,0,0,3,0,7
51,2006,3,D.C.,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
52,2006,3,Fla.,1,1,7,2,2,1,0,6,1,1,4,4,14,15,6
53,2006,3,Ga.,0,0,2,0,6,0,0,2,0,6,0,1,3,0,5
54,2006,3,Md.,1,0,2,1,2,1,0,1,1,0,2,4,8,10,22
55,2006,3,N.C.,0,0,6,0,1,0,0,2,0,0,9,0,21,17,0
56,2006,3,S.C.,0,0,2,0,3,0,0,1,0,2,0,7,17,2,30
