,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2016,Lyme disease cummulative for 2015,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2016,Malaria cummulative for 2015,"Meningococcal disease, invasive�, All groups current week","Meningococcal disease, invasive�, All groups previous 52 weeks median ","Meningococcal disease, invasive�, All groups previous 52 weeks maximum ","Meningococcal disease, invasive�, All groups cummulative for 2016","Meningococcal disease, invasive�, All groups cummulative for 2015"
23,2016,4,NEW ENGLAND,1,83,723,25,206,0,1,6,3,5,0,0,2,0,2
24,2016,4,Conn.,0,27,187,1,54,0,0,1,1,1,0,0,0,0,0
25,2016,4,Maine,0,15,79,8,22,0,0,3,1,0,0,0,2,0,0
26,2016,4,Mass.,0,27,390,0,98,0,1,3,0,4,0,0,2,0,2
27,2016,4,N.H.,0,6,65,0,19,0,0,2,1,0,0,0,1,0,0
28,2016,4,R.I.,0,10,69,5,2,0,0,2,0,0,0,0,2,0,0
29,2016,4,Vt.,1,8,57,11,11,0,0,0,0,0,0,0,1,0,0
30,2016,4,MID. ATLANTIC,40,232,"1,256",286,311,2,5,24,11,14,0,1,4,0,1
31,2016,4,N.J.,0,44,325,1,91,0,1,5,0,2,0,0,1,0,1
32,2016,4,N.Y. (Upstate),20,46,231,42,24,1,1,7,2,4,0,0,1,0,0
33,2016,4,N.Y. City,1,4,560,11,12,1,3,17,8,5,0,0,2,0,0
34,2016,4,Pa.,19,130,846,232,184,0,0,3,1,3,0,0,2,0,0
35,2016,4,E.N. CENTRAL,2,20,177,7,28,0,2,6,3,11,0,1,5,1,4
36,2016,4,Ill.,0,2,28,0,4,0,1,3,1,6,0,0,2,0,1
37,2016,4,Ind.,0,0,9,0,3,0,0,1,0,1,0,0,1,0,0
38,2016,4,Mich.,1,2,11,3,2,0,0,2,1,0,0,0,1,0,0
39,2016,4,Ohio,1,2,18,2,4,0,0,3,1,3,0,0,4,1,2
40,2016,4,Wis.,0,15,131,2,15,0,0,1,0,1,0,0,2,0,1
41,2016,4,W.N. CENTRAL,0,4,30,1,3,0,0,3,1,3,0,0,3,0,1
42,2016,4,Iowa,0,2,28,1,3,0,0,2,0,0,0,0,1,0,1
43,2016,4,Kans.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
