,year,mmwr_week,Reporting Area,Malaria cummulative for 2003,Malaria cummulative for 2002,Meningococcal Disease cummulative for 2003,Meningococcal Disease cummulative for 2002,Pertussis cummulative for 2003,Pertussis cummulative for 2002,"Rabies, Animal cummulative for 2003","Rabies, Animal cummulative for 2002",Rocky Mountain Spotted Fever cummulative for 2003,Rocky Mountain Spotted Fever cummulative for 2002
83,2003,5,C.N.M.I.,0,U,0,U,0,U,0,U,0,U
17,2003,6,UNITED STATES,83,106,119,209,346,535,329,549,26,29
18,2003,6,NEW ENGLAND,2,11,7,14,83,117,49,54,1,0
19,2003,6,Maine,1,1,1,2,0,3,3,3,0,0
20,2003,6,N.H.,1,4,0,1,0,0,2,1,0,0
21,2003,6,Vt.,0,0,0,2,14,16,3,13,0,0
22,2003,6,Mass.,0,4,5,8,69,93,18,18,1,0
23,2003,6,R.I.,0,0,0,0,0,0,0,2,0,0
24,2003,6,Conn.,0,2,1,1,0,5,23,17,0,0
25,2003,6,MID. ATLANTIC,33,20,10,27,25,20,29,76,1,4
26,2003,6,Upstate N.Y.,4,2,2,6,23,15,26,49,0,0
27,2003,6,N.Y. City,27,7,6,5,0,4,1,3,1,0
28,2003,6,N.J.,2,9,1,6,2,0,0,12,0,0
29,2003,6,Pa.,0,2,1,10,0,1,2,12,0,4
30,2003,6,E.N. CENTRAL,6,12,17,34,43,75,4,2,1,2
31,2003,6,Ohio,3,4,6,14,38,43,0,1,1,2
32,2003,6,Ind.,0,0,4,6,0,2,2,1,0,0
33,2003,6,Ill.,1,5,0,4,0,8,0,0,0,0
34,2003,6,Mich.,2,3,6,6,4,10,2,0,0,0
35,2003,6,Wis.,0,0,1,4,1,12,0,0,0,0
36,2003,6,W.N. CENTRAL,4,6,8,9,11,49,49,34,1,1
37,2003,6,Minn.,2,0,1,0,0,1,4,2,0,0
38,2003,6,Iowa,2,2,4,0,0,14,5,4,1,0
39,2003,6,Mo.,0,2,2,5,7,23,0,0,0,1
40,2003,6,N. Dak.,0,0,0,0,0,0,8,0,0,0
