,year,mmwr_week,Reporting Area,"Meningococcal disease, All serogroups cummulative for 2005","Meningococcal disease, All serogroups cummulative for 2004","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2005","Meningococcal disease, Serogroup A, C, Y, and W-135 cummulative for 2004","Meningococcal disease, Serogroup B cummulative for 2005","Meningococcal disease, Serogroup B cummulative for 2004","Meningococcal disease, Other serogroup cummulative for 2005","Meningococcal disease, Other serogroup cummulative for 2004","Meningococcal disease, Serogroup unknown cummulative for 2005","Meningococcal disease, Serogroup unknown cummulative for 2004"
69,2005,3,N. Mex.,0,0,0,0,0,0,0,0,0,0
70,2005,3,Ariz.,1,0,0,0,0,0,0,0,1,0
71,2005,3,Utah,0,0,0,0,0,0,0,0,0,0
72,2005,3,Nev.,0,1,0,0,0,1,0,0,0,0
73,2005,3,PACIFIC,12,34,0,0,0,0,0,0,12,34
74,2005,3,Wash.,0,0,0,0,0,0,0,0,0,0
75,2005,3,Oreg.,5,8,0,0,0,0,0,0,5,8
76,2005,3,Calif.,7,25,0,0,0,0,0,0,7,25
77,2005,3,Alaska,0,0,0,0,0,0,0,0,0,0
78,2005,3,Hawaii,0,1,0,0,0,0,0,0,0,1
79,2005,3,Guam,0,0,0,0,0,0,0,0,0,0
80,2005,3,P.R.,0,0,0,0,0,0,0,0,0,0
81,2005,3,V.I.,0,0,0,0,0,0,0,0,0,0
82,2005,3,Amer. Samoa,0,0,0,0,0,0,0,0,0,0
83,2005,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0
17,2005,4,UNITED STATES,64,156,7,14,3,5,0,0,54,137
18,2005,4,NEW ENGLAND,11,4,0,0,0,0,0,0,11,4
19,2005,4,Maine,1,1,0,0,0,0,0,0,1,1
20,2005,4,N.H.,1,0,0,0,0,0,0,0,1,0
21,2005,4,Vt.,3,0,0,0,0,0,0,0,3,0
22,2005,4,Mass.,5,3,0,0,0,0,0,0,5,3
23,2005,4,R.I.,0,0,0,0,0,0,0,0,0,0
24,2005,4,Conn.,1,0,0,0,0,0,0,0,1,0
25,2005,4,MID. ATLANTIC,8,25,2,8,1,2,0,0,5,15
26,2005,4,Upstate N.Y.,3,6,0,2,1,0,0,0,2,4
27,2005,4,N.Y. City,1,5,0,0,0,0,0,0,1,5
28,2005,4,N.J.,2,3,0,0,0,0,0,0,2,3
29,2005,4,Pa.,2,11,2,6,0,2,0,0,0,3
30,2005,4,E.N. CENTRAL,5,16,2,5,1,0,0,0,2,11
31,2005,4,Ohio,2,10,0,3,1,0,0,0,1,7
32,2005,4,Ind.,1,2,0,0,0,0,0,0,1,2
33,2005,4,Ill.,0,0,0,0,0,0,0,0,0,0
34,2005,4,Mich.,2,2,2,2,0,0,0,0,0,0
35,2005,4,Wis.,0,2,0,0,0,0,0,0,0,2
36,2005,4,W.N. CENTRAL,6,7,1,0,0,1,0,0,5,6
37,2005,4,Minn.,0,0,0,0,0,0,0,0,0,0
38,2005,4,Iowa,1,1,0,0,0,1,0,0,1,0
39,2005,4,Mo.,4,3,1,0,0,0,0,0,3,3
40,2005,4,N. Dak.,0,0,0,0,0,0,0,0,0,0
41,2005,4,S. Dak.,0,1,0,0,0,0,0,0,0,1
42,2005,4,Nebr.,0,1,0,0,0,0,0,0,0,1
43,2005,4,Kans.,1,1,0,0,0,0,0,0,1,1
44,2005,4,S. ATLANTIC,12,27,1,0,1,1,0,0,10,26
45,2005,4,Del.,0,0,0,0,0,0,0,0,0,0
46,2005,4,Md.,2,3,0,0,1,0,0,0,1,3
47,2005,4,D.C.,0,0,0,0,0,0,0,0,0,0
48,2005,4,Va.,0,2,0,0,0,0,0,0,0,2
49,2005,4,W. Va.,0,3,0,0,0,0,0,0,0,3
50,2005,4,N.C.,3,3,1,0,0,1,0,0,2,2
51,2005,4,S.C.,1,0,0,0,0,0,0,0,1,0
52,2005,4,Ga.,2,4,0,0,0,0,0,0,2,4
53,2005,4,Fla.,4,12,0,0,0,0,0,0,4,12
54,2005,4,E.S. CENTRAL,1,7,0,0,0,0,0,0,1,7
55,2005,4,Ky.,0,0,0,0,0,0,0,0,0,0
56,2005,4,Tenn.,1,4,0,0,0,0,0,0,1,4
57,2005,4,Ala.,0,1,0,0,0,0,0,0,0,1
58,2005,4,Miss.,0,2,0,0,0,0,0,0,0,2
59,2005,4,W.S. CENTRAL,5,22,1,1,0,0,0,0,4,21
60,2005,4,Ark.,1,3,0,0,0,0,0,0,1,3
61,2005,4,La.,3,8,0,1,0,0,0,0,3,7
62,2005,4,Okla.,1,1,1,0,0,0,0,0,0,1
63,2005,4,Tex.,0,10,0,0,0,0,0,0,0,10
64,2005,4,MOUNTAIN,3,5,0,0,0,1,0,0,3,4
65,2005,4,Mont.,0,0,0,0,0,0,0,0,0,0
66,2005,4,Idaho,0,1,0,0,0,0,0,0,0,1
67,2005,4,Wyo.,0,1,0,0,0,0,0,0,0,1
