,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2021 �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2021 �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �",column labels (in same order that data fields appears in each record below):
66,2021,3,Nevada,0,1,0,0,0,0,0,0,
67,2021,3,New Mexico,0,0,0,0,0,0,0,0,
68,2021,3,Utah,0,0,0,0,0,0,0,0,
69,2021,3,Wyoming,0,0,0,0,0,0,0,0,
70,2021,3,Pacific,0,0,0,0,0,2,0,10,
71,2021,3,Alaska,0,0,0,0,0,0,0,0,
72,2021,3,California,0,0,0,0,0,2,0,7,
73,2021,3,Hawaii,0,0,0,0,0,0,0,0,
74,2021,3,Oregon,0,0,0,0,0,0,0,0,
75,2021,3,Washington,0,0,0,0,0,2,0,3,
76,2021,3,U.S. Territories,0,0,0,0,0,0,0,0,
77,2021,3,American Samoa,0,0,0,0,0,0,0,0,
78,2021,3,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2021,3,Guam,0,0,0,0,0,0,0,0,
80,2021,3,Puerto Rico,0,0,0,0,0,0,0,0,
81,2021,3,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2021,3,Non-U.S. Residents,0,0,0,0,0,0,0,0,
83,2021,3,Total,0,2,0,4,0,8,0,17,
14,2021,4,"U.S. Residents, excluding U.S. Territories",0,2,0,4,5,8,6,23,
15,2021,4,New England,0,0,0,0,0,1,0,0,
16,2021,4,Connecticut,0,0,0,0,0,0,0,0,
17,2021,4,Maine,0,0,0,0,0,0,0,0,
18,2021,4,Massachusetts,0,0,0,0,0,1,0,0,
19,2021,4,New Hampshire,0,0,0,0,0,0,0,0,
20,2021,4,Rhode Island,0,0,0,0,0,0,0,0,
21,2021,4,Vermont,0,0,0,0,0,0,0,0,
22,2021,4,Middle Atlantic,0,0,0,0,1,3,2,3,
23,2021,4,New Jersey,0,0,0,0,0,0,0,0,
24,2021,4,New York (excluding New York City),0,0,0,0,0,2,0,0,
25,2021,4,New York City,0,0,0,0,0,1,0,0,
26,2021,4,Pennsylvania,0,0,0,0,1,2,2,3,
27,2021,4,East North Central,0,1,0,2,1,1,1,0,
28,2021,4,Illinois,0,1,0,1,0,1,0,0,
29,2021,4,Indiana,0,1,0,0,0,1,0,0,
30,2021,4,Michigan,0,0,0,0,0,1,0,0,
31,2021,4,Ohio,0,1,0,1,1,1,1,0,
32,2021,4,Wisconsin,0,0,0,0,0,0,0,0,
33,2021,4,West North Central,0,0,0,0,1,2,1,3,
34,2021,4,Iowa,0,0,0,0,0,1,0,0,
35,2021,4,Kansas,0,0,0,0,0,1,0,0,
36,2021,4,Minnesota,0,0,0,0,0,1,0,0,
37,2021,4,Missouri,0,0,0,0,1,2,1,3,
38,2021,4,Nebraska,0,0,0,0,0,0,0,0,
39,2021,4,North Dakota,0,0,0,0,0,0,0,0,
40,2021,4,South Dakota,0,0,0,0,0,0,0,0,
41,2021,4,South Atlantic,0,1,0,0,1,6,1,5,
42,2021,4,Delaware,0,0,0,0,0,1,0,0,
43,2021,4,District of Columbia,0,0,0,0,0,0,0,0,
44,2021,4,Florida,0,0,0,0,1,4,1,3,
45,2021,4,Georgia,0,1,0,0,0,1,0,0,
46,2021,4,Maryland,0,0,0,0,0,2,0,1,
47,2021,4,North Carolina,0,0,0,0,0,1,0,0,
48,2021,4,South Carolina,0,0,0,0,0,0,0,0,
49,2021,4,Virginia,0,0,0,0,0,1,0,1,
50,2021,4,West Virginia,0,0,0,0,0,0,0,0,
51,2021,4,East South Central,0,1,0,0,0,1,0,0,
52,2021,4,Alabama,0,1,0,0,0,1,0,0,
53,2021,4,Kentucky,0,0,0,0,0,1,0,0,
54,2021,4,Mississippi,0,0,0,0,0,0,0,0,
55,2021,4,Tennessee,0,0,0,0,0,0,0,0,
56,2021,4,West South Central,0,2,0,2,0,2,0,1,
57,2021,4,Arkansas,0,0,0,0,0,2,0,0,
58,2021,4,Louisiana,0,0,0,0,0,1,0,0,
59,2021,4,Oklahoma,0,0,0,2,0,0,0,0,
60,2021,4,Texas,0,2,0,0,0,2,0,1,
61,2021,4,Mountain,0,1,0,0,1,2,1,0,
62,2021,4,Arizona,0,0,0,0,1,0,1,0,
63,2021,4,Colorado,0,0,0,0,0,2,0,0,
64,2021,4,Idaho,0,0,0,0,0,0,0,0,
65,2021,4,Montana,0,0,0,0,0,0,0,0,
66,2021,4,Nevada,0,1,0,0,0,0,0,0,
67,2021,4,New Mexico,0,0,0,0,0,0,0,0,
68,2021,4,Utah,0,0,0,0,0,0,0,0,
