eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
4m,17.864166666412643,15.874999999548495,34.63293063955393,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
5m,26.23599999977124,0.6999999996545,50.38488109697775,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
6m,22.321111110803482,0.08333333315011278,43.719308942541105,imd_incidence,2022-04-30,2_past_ens,3m,2007-10-31,wis,2_past_ens
1m,12.70666666665339,12.999999999984041,22.074374999975532,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
2m,11.533333333310061,11.249999999978062,20.267416158496353,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
3m,22.893333333308007,22.499999999977394,42.13249491865414,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
4m,17.864166666653762,15.874999999977064,34.632930640208855,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
5m,26.235999999988383,0.6999999999824496,50.38488109753137,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
6m,22.321111111095487,0.08333333332402522,43.71930894306157,imd_incidence,2022-04-30,2_past_ens,4m,2007-10-31,wis,2_past_ens
1m,12.706666666660439,12.99999999999251,22.07437499998852,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
2m,11.533333333322421,11.249999999989704,20.267416158517715,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
3m,22.893333333321454,22.499999999989395,42.132494918678056,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
4m,17.864166666660616,15.874999999989239,34.632930640227464,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
5m,26.235999999994554,0.6999999999917648,50.38488109754709,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
6m,22.32111111110379,0.08333333332896349,43.71930894307636,imd_incidence,2022-04-30,2_past_ens,5m,2007-10-31,wis,2_past_ens
1m,12.706666665716966,12.999999998858087,22.074374998249137,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
2m,11.53333333166804,11.249999998429864,20.267416155657322,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
3m,22.89333333152086,22.499999998382282,42.132494915475206,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
4m,17.86416666574314,15.874999998358495,34.632930637735434,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
5m,26.235999999168303,0.6999999987438926,50.384881095440605,imd_incidence,2022-04-30,2_past_ens,6m,2007-10-31,wis,2_past_ens
