,model_name,weigth,date_forecast,forecast_window
0,arima,3.893501802220731e-234,2008-03-31,6m
1,eakf_model1,1.1499172633996417e-10,2008-03-31,6m
2,eakf_model2,9.11073386094077e-63,2008-03-31,6m
3,eakf_model3,0.9999999998850082,2008-03-31,6m
4,sarima,4.995343009966155e-133,2008-03-31,6m
0,arima,1.2472286965034923e-162,2008-04-30,1m
1,eakf_model1,0.9999999994786624,2008-04-30,1m
2,eakf_model2,3.315827777212764e-26,2008-04-30,1m
3,eakf_model3,5.21337540180453e-10,2008-04-30,1m
4,sarima,1.9315177599731894e-120,2008-04-30,1m
0,arima,2.628179475510015e-101,2008-04-30,2m
1,eakf_model1,0.9999999998967752,2008-04-30,2m
2,eakf_model2,3.669317161888758e-16,2008-04-30,2m
3,eakf_model3,1.0322459271952795e-10,2008-04-30,2m
4,sarima,5.4516681311789445e-55,2008-04-30,2m
0,arima,6.307579079124815e-116,2008-04-30,3m
1,eakf_model1,0.9999999999163192,2008-04-30,3m
2,eakf_model2,5.885051888561682e-20,2008-04-30,3m
3,eakf_model3,8.368104143760521e-11,2008-04-30,3m
4,sarima,2.1839548143127547e-75,2008-04-30,3m
0,arima,5.577441525102795e-285,2008-04-30,4m
1,eakf_model1,0.9999999995115024,2008-04-30,4m
2,eakf_model2,9.847747999366186e-59,2008-04-30,4m
3,eakf_model3,4.884977324846305e-10,2008-04-30,4m
4,sarima,3.770265787411962e-191,2008-04-30,4m
0,arima,0.0,2008-04-30,5m
1,eakf_model1,1.1703123811664708e-09,2008-04-30,5m
2,eakf_model2,1.1660430095270683e-117,2008-04-30,5m
3,eakf_model3,0.9999999988296876,2008-04-30,5m
4,sarima,2.4814056362050903e-306,2008-04-30,5m
0,arima,4.27e-321,2008-04-30,6m
1,eakf_model1,2.8908656568719046e-10,2008-04-30,6m
2,eakf_model2,4.844185111972466e-76,2008-04-30,6m
3,eakf_model3,0.9999999997109134,2008-04-30,6m
4,sarima,5.602763043824087e-186,2008-04-30,6m
0,arima,8.121124201129025e-175,2008-05-31,1m
1,eakf_model1,0.99999999944238,2008-05-31,1m
2,eakf_model2,2.0474324745445767e-30,2008-05-31,1m
3,eakf_model3,5.576200604308433e-10,2008-05-31,1m
4,sarima,3.889855848592277e-143,2008-05-31,1m
0,arima,2.481248012383996e-125,2008-05-31,2m
1,eakf_model1,0.99999999985247,2008-05-31,2m
2,eakf_model2,3.2436392960917863e-23,2008-05-31,2m
3,eakf_model3,1.475299371438222e-10,2008-05-31,2m
4,sarima,1.449200737667952e-88,2008-05-31,2m
0,arima,9.962621812826199e-124,2008-05-31,3m
1,eakf_model1,0.9999999999126716,2008-05-31,3m
2,eakf_model2,3.864279909600683e-22,2008-05-31,3m
3,eakf_model3,8.732829395369569e-11,2008-05-31,3m
4,sarima,2.527071712123553e-86,2008-05-31,3m
0,arima,9.744720539048526e-227,2008-05-31,4m
1,eakf_model1,0.999999999741096,2008-05-31,4m
2,eakf_model2,5.01869663787787e-46,2008-05-31,4m
3,eakf_model3,2.5890405850243287e-10,2008-05-31,4m
4,sarima,8.752370937675271e-158,2008-05-31,4m
0,arima,0.0,2008-05-31,5m
1,eakf_model1,6.975924268020873e-10,2008-05-31,5m
2,eakf_model2,6.513775482255058e-93,2008-05-31,5m
3,eakf_model3,0.999999999302408,2008-05-31,5m
4,sarima,3.8214181405148215e-227,2008-05-31,5m
0,arima,0.0,2008-05-31,6m
1,eakf_model1,4.341012479939165e-10,2008-05-31,6m
2,eakf_model2,2.6711755885455357e-82,2008-05-31,6m
3,eakf_model3,0.9999999995658986,2008-05-31,6m
4,sarima,1.0820253239517543e-206,2008-05-31,6m
0,arima,9.363661060939847e-158,2008-06-30,1m
1,eakf_model1,0.9999999995859404,2008-06-30,1m
2,eakf_model2,1.674935346535197e-29,2008-06-30,1m
3,eakf_model3,4.1405958119467344e-10,2008-06-30,1m
4,sarima,1.0069683795131536e-137,2008-06-30,1m
0,arima,4.6008843626036965e-144,2008-06-30,2m
1,eakf_model1,0.9999999998001454,2008-06-30,2m
2,eakf_model2,5.653218145861491e-28,2008-06-30,2m
3,eakf_model3,1.9985466608136467e-10,2008-06-30,2m
4,sarima,2.808470834389044e-110,2008-06-30,2m
0,arima,1.188589088166648e-151,2008-06-30,3m
1,eakf_model1,0.9999999998698004,2008-06-30,3m
2,eakf_model2,2.0415258206722325e-30,2008-06-30,3m
3,eakf_model3,1.3019954487815008e-10,2008-06-30,3m
4,sarima,5.503260071566075e-122,2008-06-30,3m
0,arima,6.097300083200699e-226,2008-06-30,4m
1,eakf_model1,0.9999999997608336,2008-06-30,4m
2,eakf_model2,8.571753231779971e-47,2008-06-30,4m
3,eakf_model3,2.3916642129158027e-10,2008-06-30,4m
4,sarima,1.3942259902368664e-166,2008-06-30,4m
0,arima,0.0,2008-06-30,5m
1,eakf_model1,9.985394186169077e-09,2008-06-30,5m
2,eakf_model2,1.4224548871224588e-278,2008-06-30,5m
3,eakf_model3,0.9999999900146062,2008-06-30,5m
4,sarima,0.0,2008-06-30,5m
0,arima,2.4199602526e-313,2008-06-30,6m
1,eakf_model1,4.1135081457804854e-10,2008-06-30,6m
2,eakf_model2,6.325889062219223e-79,2008-06-30,6m
3,eakf_model3,0.9999999995886496,2008-06-30,6m
4,sarima,4.486423957367318e-193,2008-06-30,6m
0,arima,4.377420810188351e-185,2008-07-31,1m
1,eakf_model1,0.9999999995831388,2008-07-31,1m
2,eakf_model2,3.3181086433661295e-30,2008-07-31,1m
3,eakf_model3,4.1686118222408687e-10,2008-07-31,1m
4,sarima,7.216092846955784e-172,2008-07-31,1m
0,arima,7.774108985535778e-149,2008-07-31,2m
1,eakf_model1,0.999999999816256,2008-07-31,2m
2,eakf_model2,1.7384813917090463e-28,2008-07-31,2m
3,eakf_model3,1.8374395284394636e-10,2008-07-31,2m
4,sarima,1.222587119205737e-122,2008-07-31,2m
0,arima,3.8978862442516514e-176,2008-07-31,3m
1,eakf_model1,0.9999999998272858,2008-07-31,3m
2,eakf_model2,2.2277688428205636e-35,2008-07-31,3m
3,eakf_model3,1.7271423731857804e-10,2008-07-31,3m
4,sarima,7.691687904014334e-151,2008-07-31,3m
0,arima,1.1826277623114568e-289,2008-07-31,4m
1,eakf_model1,0.9999999996095996,2008-07-31,4m
2,eakf_model2,1.384675440389702e-63,2008-07-31,4m
3,eakf_model3,3.904004225877728e-10,2008-07-31,4m
4,sarima,6.787253025268951e-240,2008-07-31,4m
0,arima,0.0,2008-07-31,5m
1,eakf_model1,2.152510391293868e-05,2008-07-31,5m
2,eakf_model2,1.4e-322,2008-07-31,5m
3,eakf_model3,0.9999784748960872,2008-07-31,5m
4,sarima,7e-323,2008-07-31,5m
0,arima,0.0,2008-07-31,6m
1,eakf_model1,4.481143031075e-09,2008-07-31,6m
2,eakf_model2,8.649131923045668e-206,2008-07-31,6m
3,eakf_model3,0.999999995518857,2008-07-31,6m
4,sarima,6e-323,2008-07-31,6m
0,arima,1.8571910967069359e-264,2008-08-31,1m
1,eakf_model1,0.9999999993105076,2008-08-31,1m
2,eakf_model2,5.251450083288216e-33,2008-08-31,1m
3,eakf_model3,6.894921113056867e-10,2008-08-31,1m
4,sarima,2.2135859235611836e-247,2008-08-31,1m
0,arima,7.211036310774275e-161,2008-08-31,2m
1,eakf_model1,0.9999999998357018,2008-08-31,2m
2,eakf_model2,7.047374907134682e-27,2008-08-31,2m
3,eakf_model3,1.6429850699833146e-10,2008-08-31,2m
4,sarima,1.1227934221102608e-138,2008-08-31,2m
0,arima,2.045361224199864e-186,2008-08-31,3m
1,eakf_model1,0.999999999829404,2008-08-31,3m
2,eakf_model2,3.2654789553252025e-35,2008-08-31,3m
3,eakf_model3,1.7059593521594863e-10,2008-08-31,3m
4,sarima,1.927559843461977e-166,2008-08-31,3m
0,arima,7.4e-323,2008-08-31,4m
1,eakf_model1,0.99999999949338,2008-08-31,4m
2,eakf_model2,2.4460087526892146e-71,2008-08-31,4m
3,eakf_model3,5.066198959820865e-10,2008-08-31,4m
4,sarima,3.158218599683569e-294,2008-08-31,4m
0,arima,0.0,2008-08-31,5m
1,eakf_model1,1.5387328293764012e-08,2008-08-31,5m
2,eakf_model2,1.5e-322,2008-08-31,5m
3,eakf_model3,0.9999999846126716,2008-08-31,5m
4,sarima,0.0,2008-08-31,5m
0,arima,0.0,2008-08-31,6m
1,eakf_model1,5.241814711067717e-08,2008-08-31,6m
2,eakf_model2,1.3e-322,2008-08-31,6m
3,eakf_model3,0.999999947581853,2008-08-31,6m
4,sarima,6e-323,2008-08-31,6m
0,arima,7.408890558756609e-280,2008-09-30,1m
1,eakf_model1,0.9999999994186808,2008-09-30,1m
2,eakf_model2,1.2936935424441657e-30,2008-09-30,1m
3,eakf_model3,5.813191105240124e-10,2008-09-30,1m
4,sarima,1.1618401222923732e-263,2008-09-30,1m
0,arima,4.879333861354079e-192,2008-09-30,2m
1,eakf_model1,0.999999999808515,2008-09-30,2m
2,eakf_model2,6.705862317895132e-27,2008-09-30,2m
3,eakf_model3,1.9148496380627838e-10,2008-09-30,2m
4,sarima,4.360925928048294e-168,2008-09-30,2m
0,arima,1.5054180824003125e-192,2008-09-30,3m
1,eakf_model1,0.9999999998543044,2008-09-30,3m
2,eakf_model2,2.0128641445160616e-32,2008-09-30,3m
3,eakf_model3,1.456956953809367e-10,2008-09-30,3m
4,sarima,5.466993895366714e-176,2008-09-30,3m
0,arima,0.0,2008-09-30,4m
1,eakf_model1,0.9999999995773684,2008-09-30,4m
2,eakf_model2,1.6285509933221514e-65,2008-09-30,4m
3,eakf_model3,4.2263157614932936e-10,2008-09-30,4m
4,sarima,9.430397501892026e-301,2008-09-30,4m
0,arima,0.0,2008-09-30,5m
1,eakf_model1,1.5766306970058936e-08,2008-09-30,5m
2,eakf_model2,1.6e-322,2008-09-30,5m
