,model_name,weigth,date_forecast,forecast_window,past_months
3,eakf_model3,1.3530945358382157e-45,2008-02-29,2m,2
0,arima,1.7660079064433335e-34,2008-02-29,3m,2
1,eakf_model1,5.319254574983539e-12,2008-02-29,3m,2
2,eakf_model2,0.9999999999946808,2008-02-29,3m,2
3,eakf_model3,1.1597764996050972e-24,2008-02-29,3m,2
0,arima,2.9876397293926107e-34,2008-02-29,4m,2
1,eakf_model1,3.957507016912305e-12,2008-02-29,4m,2
2,eakf_model2,0.9999999999960424,2008-02-29,4m,2
3,eakf_model3,3.8437820085691514e-23,2008-02-29,4m,2
0,arima,1.306281888216827e-36,2008-02-29,5m,2
1,eakf_model1,1.5547120229657258e-11,2008-02-29,5m,2
2,eakf_model2,0.9999999999844528,2008-02-29,5m,2
3,eakf_model3,1.3145721125243617e-18,2008-02-29,5m,2
0,arima,1.2080789514107016e-69,2008-02-29,6m,2
1,eakf_model1,1.503580321960006e-11,2008-02-29,6m,2
2,eakf_model2,9.617586378476233e-16,2008-02-29,6m,2
3,eakf_model3,0.9999999999849633,2008-02-29,6m,2
0,arima,7.549571290326161e-211,2008-03-31,1m,2
1,eakf_model1,0.999999999967848,2008-03-31,1m,2
2,eakf_model2,2.399342001722421e-38,2008-03-31,1m,2
3,eakf_model3,3.2152038087480916e-11,2008-03-31,1m,2
0,arima,8.251180654758825e-98,2008-03-31,2m,2
1,eakf_model1,0.9999999999379,2008-03-31,2m,2
2,eakf_model2,1.581507484515541e-14,2008-03-31,2m,2
3,eakf_model3,6.2084190627529e-11,2008-03-31,2m,2
0,arima,6.217728070964047e-09,2008-03-31,3m,2
1,eakf_model1,3.8315241742953024e-10,2008-03-31,3m,2
2,eakf_model2,0.9999999933991196,2008-03-31,3m,2
3,eakf_model3,2.1465828402886087e-60,2008-03-31,3m,2
0,arima,1.1906065408696445e-58,2008-03-31,4m,2
1,eakf_model1,2.8574508598047385e-11,2008-03-31,4m,2
2,eakf_model2,0.9999999999714256,2008-03-31,4m,2
3,eakf_model3,3.399632474977864e-23,2008-03-31,4m,2
0,arima,5.3060960339512404e-39,2008-03-31,5m,2
1,eakf_model1,1.1221622523459432e-11,2008-03-31,5m,2
2,eakf_model2,0.9999999999887784,2008-03-31,5m,2
3,eakf_model3,6.047001055915214e-25,2008-03-31,5m,2
0,arima,4.126943497105833e-55,2008-03-31,6m,2
1,eakf_model1,4.1647623560329954e-11,2008-03-31,6m,2
2,eakf_model2,0.9999999999583524,2008-03-31,6m,2
3,eakf_model3,2.3958496067081134e-32,2008-03-31,6m,2
0,arima,2.7127203564267546e-148,2008-04-30,1m,2
1,eakf_model1,0.9999999999872268,2008-04-30,1m,2
2,eakf_model2,4.690946022826574e-38,2008-04-30,1m,2
3,eakf_model3,1.2773023309582552e-11,2008-04-30,1m,2
0,arima,2.1495894807340802e-266,2008-04-30,2m,2
1,eakf_model1,0.9999999998657756,2008-04-30,2m,2
2,eakf_model2,4.1810327297863153e-63,2008-04-30,2m,2
3,eakf_model3,1.342242863706119e-10,2008-04-30,2m,2
0,arima,1.49e-321,2008-04-30,3m,2
1,eakf_model1,0.9999999992530016,2008-04-30,3m,2
2,eakf_model2,1.852323444826699e-93,2008-04-30,3m,2
