,model_name,weigth,date_forecast,forecast_window
3,eakf_model3,0.9999999999103574,2008-08-31,3m
0,arima,9.635722364198105e-180,2008-08-31,4m
1,eakf_model1,7.540218202893042e-11,2008-08-31,4m
2,eakf_model2,1.359949592688076e-69,2008-08-31,4m
3,eakf_model3,0.999999999924598,2008-08-31,4m
0,arima,5.621660608736563e-219,2008-08-31,5m
1,eakf_model1,8.723601336917561e-11,2008-08-31,5m
2,eakf_model2,1.2675654443910098e-64,2008-08-31,5m
3,eakf_model3,0.999999999912764,2008-08-31,5m
0,arima,0.0,2008-08-31,6m
1,eakf_model1,1.4785324309066391e-08,2008-08-31,6m
2,eakf_model2,7.4e-323,2008-08-31,6m
3,eakf_model3,0.9999999852146758,2008-08-31,6m
0,arima,9.020019931342032e-295,2008-09-30,1m
1,eakf_model1,1.8945176076300467e-10,2008-09-30,1m
2,eakf_model2,1.0025835538041765e-85,2008-09-30,1m
3,eakf_model3,0.999999999810548,2008-09-30,1m
0,arima,9.956672613534808e-255,2008-09-30,2m
1,eakf_model1,1.5181644790737786e-10,2008-09-30,2m
2,eakf_model2,6.960702823600705e-88,2008-09-30,2m
3,eakf_model3,0.9999999998481836,2008-09-30,2m
0,arima,1.3618540649392867e-263,2008-09-30,3m
1,eakf_model1,1.4992906134737997e-10,2008-09-30,3m
2,eakf_model2,4.999721442025783e-91,2008-09-30,3m
3,eakf_model3,0.9999999998500708,2008-09-30,3m
0,arima,1.6000360887177284e-240,2008-09-30,4m
1,eakf_model1,1.2288145282498996e-10,2008-09-30,4m
2,eakf_model2,9.342589006727985e-86,2008-09-30,4m
3,eakf_model3,0.9999999998771184,2008-09-30,4m
0,arima,3.154468112364338e-232,2008-09-30,5m
1,eakf_model1,8.942382496465221e-11,2008-09-30,5m
2,eakf_model2,1.137517882479421e-71,2008-09-30,5m
3,eakf_model3,0.999999999910576,2008-09-30,5m
0,arima,0.0,2008-09-30,6m
1,eakf_model1,0.0957895577658869,2008-09-30,6m
2,eakf_model2,8e-323,2008-09-30,6m
3,eakf_model3,0.904210442234113,2008-09-30,6m
0,arima,8.973961022897587e-305,2008-10-31,1m
1,eakf_model1,1.8851325531894658e-10,2008-10-31,1m
2,eakf_model2,1.2047706578087185e-72,2008-10-31,1m
3,eakf_model3,0.9999999998114872,2008-10-31,1m
0,arima,0.0,2008-10-31,2m
1,eakf_model1,3.9516033514822844e-10,2008-10-31,2m
2,eakf_model2,5.743236385811047e-125,2008-10-31,2m
3,eakf_model3,0.9999999996048392,2008-10-31,2m
0,arima,1.2690450225755448e-289,2008-10-31,3m
1,eakf_model1,1.557604718584044e-10,2008-10-31,3m
2,eakf_model2,1.4660592296949058e-83,2008-10-31,3m
3,eakf_model3,0.9999999998442396,2008-10-31,3m
0,arima,2.06230955e-316,2008-10-31,4m
1,eakf_model1,1.9386152055688936e-10,2008-10-31,4m
2,eakf_model2,8.195520440003486e-106,2008-10-31,4m
3,eakf_model3,0.9999999998061389,2008-10-31,4m
0,arima,4.768457302317287e-307,2008-10-31,5m
