eval_horizon,mae,error,wis,type,frsct_date,method
6m,4.695654087454771,-0.1304198624894767,13.058379558352053,imd_incidence,2014-12-31,arima
1m,4.210000000000001,4.0,7.464756097560976,imd_incidence,2014-12-31,eakf_model1
2m,4.263333333333334,4.0,7.562980182926829,imd_incidence,2014-12-31,eakf_model1
3m,6.155555555555556,-0.6666666666666666,10.971356707317074,imd_incidence,2014-12-31,eakf_model1
4m,5.250833333333334,-1.25,9.841928353658538,imd_incidence,2014-12-31,eakf_model1
5m,4.703333333333335,-0.6,9.085771341463415,imd_incidence,2014-12-31,eakf_model1
6m,4.858888888888891,0.5,9.196626016260161,imd_incidence,2014-12-31,eakf_model1
1m,3.323333333333334,3.0,6.614634146341463,imd_incidence,2014-12-31,eakf_model2
2m,3.501666666666667,3.5,6.7563414634146355,imd_incidence,2014-12-31,eakf_model2
3m,6.017777777777778,-1.5,11.082047764227644,imd_incidence,2014-12-31,eakf_model2
4m,5.094166666666667,-1.875,9.818955792682928,imd_incidence,2014-12-31,eakf_model2
5m,4.695333333333334,-0.9,9.171396341463415,imd_incidence,2014-12-31,eakf_model2
6m,5.021666666666667,0.25,9.572235772357725,imd_incidence,2014-12-31,eakf_model2
1m,2.74,2.0,5.608948170731705,imd_incidence,2014-12-31,eakf_model3
2m,3.1050000000000004,2.5,6.206897865853657,imd_incidence,2014-12-31,eakf_model3
3m,5.731111111111112,-2.0,10.729613821138212,imd_incidence,2014-12-31,eakf_model3
4m,5.348333333333334,-2.75,10.052888719512193,imd_incidence,2014-12-31,eakf_model3
5m,4.374666666666667,-2.2,8.907469512195123,imd_incidence,2014-12-31,eakf_model3
6m,4.103888888888889,-1.3333333333333333,8.362329776422762,imd_incidence,2014-12-31,eakf_model3
1m,3.7356115143757016,3.7356115143757016,11.255296175288597,imd_incidence,2014-12-31,sarima
2m,4.277172686356983,4.277172686356983,12.073884806087543,imd_incidence,2014-12-31,sarima
3m,6.415972534770759,-0.7130756196281153,14.257978538371471,imd_incidence,2014-12-31,sarima
4m,5.7335162100571395,-1.456343523700157,13.427340030831715,imd_incidence,2014-12-31,sarima
5m,4.804391824275338,-0.9474959627304997,12.690709802501209,imd_incidence,2014-12-31,sarima
6m,4.792928439292065,-0.00031138321279951714,12.659230374265796,imd_incidence,2014-12-31,sarima
1m,2.6826289289171967,2.6826289289171967,10.090492075348207,imd_incidence,2015-01-31,arima
2m,7.2251024664689005,-4.542473537551704,15.073156169677404,imd_incidence,2015-01-31,arima
3m,6.072593645652802,-4.284174359708004,13.861219647263026,imd_incidence,2015-01-31,arima
4m,4.86255123323445,-2.905024770786154,13.006447671533607,imd_incidence,2015-01-31,arima
5m,4.7365257857834395,-1.4775350174330442,12.854120850920895,imd_incidence,2015-01-31,arima
6m,4.819175487482766,-0.35920851519763747,12.936060835326034,imd_incidence,2015-01-31,arima
1m,3.756666666666666,4.0,6.976128048780488,imd_incidence,2015-01-31,eakf_model1
2m,7.488333333333333,-4.0,13.486958841463418,imd_incidence,2015-01-31,eakf_model1
3m,6.091111111111111,-3.6666666666666665,11.187484756097563,imd_incidence,2015-01-31,eakf_model1
4m,5.020833333333334,-2.5,9.663235518292682,imd_incidence,2015-01-31,eakf_model1
5m,5.0,-1.0,9.43860975609756,imd_incidence,2015-01-31,eakf_model1
6m,5.276666666666666,0.16666666666666666,9.780759654471545,imd_incidence,2015-01-31,eakf_model1
1m,2.3766666666666687,2.0,5.464024390243902,imd_incidence,2015-01-31,eakf_model2
2m,7.380000000000001,-5.5,14.00252286585366,imd_incidence,2015-01-31,eakf_model2
3m,6.170000000000001,-5.0,11.93650406504065,imd_incidence,2015-01-31,eakf_model2
4m,5.030833333333334,-3.5,10.227850609756096,imd_incidence,2015-01-31,eakf_model2
5m,5.0006666666666675,-1.8,9.888387195121952,imd_incidence,2015-01-31,eakf_model2
6m,5.147777777777779,-0.5833333333333334,9.905198170731708,imd_incidence,2015-01-31,eakf_model2
1m,3.4533333333333314,3.0,6.457789634146341,imd_incidence,2015-01-31,eakf_model3
2m,7.724999999999999,-4.5,14.165960365853662,imd_incidence,2015-01-31,eakf_model3
3m,6.141111111111111,-4.0,11.536021341463416,imd_incidence,2015-01-31,eakf_model3
4m,5.049166666666666,-2.5,9.919329268292683,imd_incidence,2015-01-31,eakf_model3
5m,4.761999999999999,-1.4,9.305402439024393,imd_incidence,2015-01-31,eakf_model3
6m,4.607222222222222,-0.5,8.895289634146343,imd_incidence,2015-01-31,eakf_model3
1m,4.252654585492577,4.252654585492577,11.957062357311372,imd_incidence,2015-01-31,sarima
2m,7.745981855007682,-3.493327269515105,15.583980233688761,imd_incidence,2015-01-31,sarima
3m,6.561543700606401,-3.7264406436113497,14.025122284314502,imd_incidence,2015-01-31,sarima
4m,5.068723831231994,-2.6472644269313195,12.827067305793236,imd_incidence,2015-01-31,sarima
