,model_name,weigth,date_forecast,forecast_window,past_months
4,sarima,5.0484141065710794e-132,2008-02-29,6m,2
0,arima,6.051262279888961e-68,2008-03-31,1m,2
1,eakf_model1,0.9999999999950364,2008-03-31,1m,2
2,eakf_model2,8.926148719334445e-13,2008-03-31,1m,2
3,eakf_model3,4.071000566886984e-12,2008-03-31,1m,2
4,sarima,4.9249808804209934e-64,2008-03-31,1m,2
0,arima,3.4878444926292405e-91,2008-03-31,2m,2
1,eakf_model1,0.9999999999086971,2008-03-31,2m,2
2,eakf_model2,9.130279290989851e-11,2008-03-31,2m,2
3,eakf_model3,3.3561362380221065e-21,2008-03-31,2m,2
4,sarima,3.144765784493144e-33,2008-03-31,2m,2
0,arima,1.362789957659689e-12,2008-03-31,3m,2
1,eakf_model1,1.255718973507925e-12,2008-03-31,3m,2
2,eakf_model2,1.397855966852471e-12,2008-03-31,3m,2
3,eakf_model3,2.6772075497089684e-17,2008-03-31,3m,2
4,sarima,0.9999999999959835,2008-03-31,3m,2
0,arima,4.903539487945128e-66,2008-03-31,4m,2
1,eakf_model1,6.041157117922512e-11,2008-03-31,4m,2
2,eakf_model2,0.9999999999395884,2008-03-31,4m,2
3,eakf_model3,8.552233542566274e-23,2008-03-31,4m,2
4,sarima,1.652837092978005e-42,2008-03-31,4m,2
0,arima,4.313146505467905e-38,2008-03-31,5m,2
1,eakf_model1,1.6727767679250256e-11,2008-03-31,5m,2
2,eakf_model2,0.9999999999832724,2008-03-31,5m,2
3,eakf_model3,1.0854776877410758e-24,2008-03-31,5m,2
4,sarima,8.035709648927826e-65,2008-03-31,5m,2
0,arima,1.0848269154278159e-42,2008-03-31,6m,2
1,eakf_model1,4.07086646107403e-11,2008-03-31,6m,2
2,eakf_model2,0.9999999999592912,2008-03-31,6m,2
3,eakf_model3,5.120098311848842e-28,2008-03-31,6m,2
4,sarima,1.837282765169795e-138,2008-03-31,6m,2
0,arima,1.7374418909614498e-248,2008-04-30,1m,2
1,eakf_model1,0.9999999998452684,2008-04-30,1m,2
2,eakf_model2,5.982842180073358e-76,2008-04-30,1m,2
3,eakf_model3,1.5473158406697255e-10,2008-04-30,1m,2
4,sarima,0.0,2008-04-30,1m,2
0,arima,1.0687689163639015e-79,2008-04-30,2m,2
1,eakf_model1,0.9999999999829984,2008-04-30,2m,2
2,eakf_model2,2.7369238510848906e-18,2008-04-30,2m,2
3,eakf_model3,1.7001512120796254e-11,2008-04-30,2m,2
4,sarima,1.033413465534089e-89,2008-04-30,2m,2
0,arima,8.231315416905262e-58,2008-04-30,3m,2
1,eakf_model1,0.9999999999709952,2008-04-30,3m,2
2,eakf_model2,6.72952660954561e-17,2008-04-30,3m,2
3,eakf_model3,2.9004766961658145e-11,2008-04-30,3m,2
4,sarima,1.9501545376775468e-35,2008-04-30,3m,2
0,arima,3.116454371491639e-20,2008-04-30,4m,2
1,eakf_model1,1.3091778222083164e-12,2008-04-30,4m,2
2,eakf_model2,1.3391899128108038e-22,2008-04-30,4m,2
3,eakf_model3,6.444329846409112e-11,2008-04-30,4m,2
4,sarima,0.9999999999342476,2008-04-30,4m,2
0,arima,2.1650068519344176e-210,2008-04-30,5m,2
1,eakf_model1,2.2493557057637623e-09,2008-04-30,5m,2
2,eakf_model2,0.9999999977506444,2008-04-30,5m,2
3,eakf_model3,1.0562199666463685e-65,2008-04-30,5m,2
4,sarima,1.5239655903707737e-43,2008-04-30,5m,2
0,arima,1.7605912013293733e-42,2008-04-30,6m,2
1,eakf_model1,3.3859721182459565e-11,2008-04-30,6m,2
2,eakf_model2,0.9999999999661402,2008-04-30,6m,2
3,eakf_model3,2.061778138189364e-29,2008-04-30,6m,2
4,sarima,2.4622527392154325e-57,2008-04-30,6m,2
0,arima,5.2650201280033836e-51,2008-05-31,1m,2
1,eakf_model1,0.9999999999979808,2008-05-31,1m,2
2,eakf_model2,3.322491933611244e-22,2008-05-31,1m,2
3,eakf_model3,2.0192308878130384e-12,2008-05-31,1m,2
4,sarima,1.7049103008545623e-129,2008-05-31,1m,2
0,arima,0.0,2008-05-31,2m,2
1,eakf_model1,0.9999999994713646,2008-05-31,2m,2
2,eakf_model2,1.0589274987909658e-166,2008-05-31,2m,2
3,eakf_model3,5.286354140258992e-10,2008-05-31,2m,2
4,sarima,0.0,2008-05-31,2m,2
0,arima,3.713914637773901e-87,2008-05-31,3m,2
1,eakf_model1,0.999999999989196,2008-05-31,3m,2
2,eakf_model2,1.1091611422912873e-17,2008-05-31,3m,2
3,eakf_model3,1.0804067678401398e-11,2008-05-31,3m,2
4,sarima,2.138604503993443e-90,2008-05-31,3m,2
0,arima,1.167780237731284e-51,2008-05-31,4m,2
1,eakf_model1,0.9999999999833018,2008-05-31,4m,2
2,eakf_model2,1.4900613610676786e-14,2008-05-31,4m,2
3,eakf_model3,1.6683330098409116e-11,2008-05-31,4m,2
4,sarima,2.97213724560827e-42,2008-05-31,4m,2
0,arima,1.2e-322,2008-05-31,5m,2
1,eakf_model1,1.3379795578774457e-06,2008-05-31,5m,2
2,eakf_model2,2.27e-322,2008-05-31,5m,2
3,eakf_model3,0.999998662020442,2008-05-31,5m,2
4,sarima,2.27e-322,2008-05-31,5m,2
0,arima,4e-323,2008-05-31,6m,2
1,eakf_model1,2.1233422824093875e-06,2008-05-31,6m,2
2,eakf_model2,0.9999978766577176,2008-05-31,6m,2
3,eakf_model3,1.9e-322,2008-05-31,6m,2
4,sarima,4e-323,2008-05-31,6m,2
0,arima,1.0971537771327193e-44,2008-06-30,1m,2
1,eakf_model1,0.9999999999958772,2008-06-30,1m,2
2,eakf_model2,4.102970515134967e-12,2008-06-30,1m,2
3,eakf_model3,1.9656095608500384e-14,2008-06-30,1m,2
4,sarima,1.1384547900163646e-68,2008-06-30,1m,2
0,arima,2.4014360473211166e-54,2008-06-30,2m,2
1,eakf_model1,0.9999999999962564,2008-06-30,2m,2
2,eakf_model2,3.396163996639728e-27,2008-06-30,2m,2
3,eakf_model3,3.743682565076812e-12,2008-06-30,2m,2
4,sarima,6.132759076155402e-116,2008-06-30,2m,2
0,arima,2e-323,2008-06-30,3m,2
1,eakf_model1,0.9999999993435617,2008-06-30,3m,2
2,eakf_model2,5.2550928279767155e-195,2008-06-30,3m,2
3,eakf_model3,6.564384306043623e-10,2008-06-30,3m,2
