eval_horizon,mae,error,wis,type,frsct_date,method,eval_horizon_ensemble,forecast_date,score,type_ensemble
5m,25.02266666919697,-0.3999999963884108,47.54084451752099,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
6m,21.239444445312685,-0.16666666447782438,41.30210112190684,imd_incidence,2022-04-30,all_past_ens,5m,2007-10-31,wis,all_past_ens
1m,11.876666666764535,12.000000000115143,20.3905945123789,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
2m,9.675000000153616,9.500000000172708,16.96899390269222,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
3m,20.488888889075927,20.33333333352523,37.86195121983882,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
4m,16.570000000101178,14.0000000001871,31.200228658767646,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
5m,25.022666666755402,-0.3999999998733458,47.540844512381895,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
6m,21.239444444474895,-0.16666666658990437,41.302101118027174,imd_incidence,2022-04-30,all_past_ens,6m,2007-10-31,wis,all_past_ens
1m,6.279999998467893,5.999999999105768,12.565945119712776,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
2m,25.34833333025123,24.999999997317317,48.323376518801545,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
3m,17.421111110963064,15.999999996423092,35.967281500009065,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
4m,27.394166667618265,-2.375000003688685,54.202801066315615,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
5m,22.040666667098275,-1.7000000034874845,45.359932925981575,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
6m,20.352222222195888,-3.4166666692748286,41.33642530353044,imd_incidence,2022-04-30,all_past_ens,1m,2007-11-30,wis,all_past_ens
1m,6.279999817842281,5.999999893682272,12.565944855814914,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
2m,25.348332966891537,24.999999681046795,48.32337585993034,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
3m,17.42111109350962,15.999999574729058,35.967281021835234,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
4m,27.394166779806454,-2.37500043856066,54.20280097700456,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
5m,22.040666717982692,-1.7000004146391674,45.35993282604428,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
6m,20.352222219091754,-3.416666976760061,41.33642514465485,imd_incidence,2022-04-30,all_past_ens,2m,2007-11-30,wis,all_past_ens
1m,4.566666668121883,5.000000000849347,10.062728660662682,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
2m,21.901666669594082,22.000000002548042,42.07362043213748,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
3m,17.25555555569617,12.000000003397387,33.10064532651315,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
4m,28.458333332429486,-6.499999996496445,54.60746570003218,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
5m,23.0099999989638,-5.599999996687548,45.452460365075304,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
6m,20.728333332836467,-6.333333330856072,40.69647611784657,imd_incidence,2022-04-30,all_past_ens,3m,2007-11-30,wis,all_past_ens
1m,4.566666898296965,5.000000135192778,10.062728996953371,imd_incidence,2022-04-30,all_past_ens,4m,2007-11-30,wis,all_past_ens
2m,21.90166713263111,22.000000405578337,42.07362127175116,imd_incidence,2022-04-30,all_past_ens,4m,2007-11-30,wis,all_past_ens
3m,17.25555557793747,12.000000540771117,33.10064553370376,imd_incidence,2022-04-30,all_past_ens,4m,2007-11-30,wis,all_past_ens
