eval_horizon,mae,error,wis,type,frsct_date,method
6m,12.886921539749252,-10.386597952581091,26.79107533135939,imd_incidence,2008-12-31,equal_weights_ensemble
1m,9.00107581778596,-9.167742484452631,18.845342272848985,imd_incidence,2009-01-31,equal_weights_ensemble
2m,22.928575817785962,-23.16774248445263,41.23524275028482,imd_incidence,2009-01-31,equal_weights_ensemble
3m,17.850798040008186,-18.16774248445263,33.48498131337434,imd_incidence,2009-01-31,equal_weights_ensemble
4m,18.048159151119297,-18.35524248445263,33.084887271956845,imd_incidence,2009-01-31,equal_weights_ensemble
5m,15.665312157338244,-13.517742484452631,29.833338674233612,imd_incidence,2009-01-31,equal_weights_ensemble
6m,15.841550545190643,-14.126075817785965,29.702009945430717,imd_incidence,2009-01-31,equal_weights_ensemble
1m,35.98695256862952,-36.13111923529619,61.88529304738888,imd_incidence,2009-02-28,equal_weights_ensemble
2m,21.25403590196285,-21.44361923529619,39.350050581903204,imd_incidence,2009-02-28,equal_weights_ensemble
3m,19.88417479085174,-20.13111923529619,36.090044574504816,imd_incidence,2009-02-28,equal_weights_ensemble
4m,16.85680961764809,-13.16236923529619,31.721694761120872,imd_incidence,2009-02-28,equal_weights_ensemble
5m,16.41817154117771,-13.531119235296188,30.57670666064634,imd_incidence,2009-02-28,equal_weights_ensemble
6m,13.984912823530792,-11.65195256862952,27.93121408607568,imd_incidence,2009-02-28,equal_weights_ensemble
1m,5.828235677567093,-6.17240234423376,16.934719752864297,imd_incidence,2009-03-31,equal_weights_ensemble
2m,11.058652344233757,-11.35990234423376,22.754500421488718,imd_incidence,2009-03-31,equal_weights_ensemble
3m,10.360245225855694,-4.714069010900427,21.93636325406515,imd_incidence,2009-03-31,equal_weights_ensemble
4m,11.000784505450211,-6.82865234423376,22.506718781182826,imd_incidence,2009-03-31,equal_weights_ensemble
5m,8.853274739873587,-5.54740234423376,20.956401781644836,imd_incidence,2009-03-31,equal_weights_ensemble
6m,8.59982855918903,-3.443235677567093,20.545989400696175,imd_incidence,2009-03-31,equal_weights_ensemble
1m,15.680934644715819,-15.878434644715817,27.67235040290849,imd_incidence,2009-04-30,equal_weights_ensemble
2m,12.829583333333336,-3.253434644715817,24.590591951788394,imd_incidence,2009-04-30,equal_weights_ensemble
3m,12.450033770460829,-6.21176797804915,23.950553416024853,imd_incidence,2009-04-30,equal_weights_ensemble
4m,9.627083333333335,-4.440934644715817,21.68956235770988,imd_incidence,2009-04-30,equal_weights_ensemble
5m,9.464813071056838,-1.8534346447158172,21.370364691025763,imd_incidence,2009-04-30,equal_weights_ensemble
6m,9.504549562872507,-0.0034346447158171145,21.309432858930677,imd_incidence,2009-04-30,equal_weights_ensemble
1m,10.27160764612627,10.329940979459607,21.818485984837576,imd_incidence,2009-05-31,equal_weights_ensemble
2m,10.69458333333333,-0.5450590205403927,21.904130334424096,imd_incidence,2009-05-31,equal_weights_ensemble
3m,7.8847025487087565,0.3299409794596073,19.646022846276686,imd_incidence,2009-05-31,equal_weights_ensemble
4m,8.529345489729803,2.7986909794596073,20.382500029079214,imd_incidence,2009-05-31,equal_weights_ensemble
5m,9.16563125434243,4.504940979459607,21.133127556654284,imd_incidence,2009-05-31,equal_weights_ensemble
6m,11.605258104264314,-0.27422568720705937,24.33212638489417,imd_incidence,2009-05-31,equal_weights_ensemble
1m,13.608317296907131,-13.68831729690713,24.61805433927397,imd_incidence,2009-06-30,equal_weights_ensemble
2m,6.880000000000003,-6.93831729690713,19.413526065563325,imd_incidence,2009-06-30,equal_weights_ensemble
3m,7.410560901030958,-1.8549839635737964,19.410584250886384,imd_incidence,2009-06-30,equal_weights_ensemble
4m,8.245633018213102,1.2491827030928704,20.183218764053517,imd_incidence,2009-06-30,equal_weights_ensemble
5m,11.482836540618575,-3.9383172969071296,24.447187595950055,imd_incidence,2009-06-30,equal_weights_ensemble
6m,13.124444444444444,-6.834150630240463,26.4168173197596,imd_incidence,2009-06-30,equal_weights_ensemble
1m,0.534462387736923,0.23112905440360265,14.256264870576718,imd_incidence,2009-07-31,equal_weights_ensemble
2m,5.034462387736923,4.731129054403603,17.48294160038781,imd_incidence,2009-07-31,equal_weights_ensemble
3m,7.322517943292479,6.981129054403603,19.70890150420122,imd_incidence,2009-07-31,equal_weights_ensemble
4m,11.285356193868461,-0.5813709455963973,24.627792489548213,imd_incidence,2009-07-31,equal_weights_ensemble
5m,12.950392477547382,-4.418870945596398,26.407226361188002,imd_incidence,2009-07-31,equal_weights_ensemble
6m,10.983431907023416,-3.5188709455963973,24.508697055218196,imd_incidence,2009-07-31,equal_weights_ensemble
1m,8.522054732821971,8.42205473282197,18.964285862863672,imd_incidence,2009-08-31,equal_weights_ensemble
2m,9.8228880661553,9.60955473282197,20.930850654097082,imd_incidence,2009-08-31,equal_weights_ensemble
3m,14.35651824427399,-1.4112786005113638,27.146867583301358,imd_incidence,2009-08-31,equal_weights_ensemble
4m,15.681458333333335,-6.0154452671780305,28.753019235653728,imd_incidence,2009-08-31,equal_weights_ensemble
5m,12.76507761323106,-4.5779452671780305,25.895419896819654,imd_incidence,2009-08-31,equal_weights_ensemble
6m,11.065546022051768,-3.411278600511364,24.05162792750376,imd_incidence,2009-08-31,equal_weights_ensemble
1m,9.334241576505235,9.187574909838574,19.950091059774163,imd_incidence,2009-09-30,equal_weights_ensemble
2m,17.07,-7.812425090161426,30.86900721175243,imd_incidence,2009-09-30,equal_weights_ensemble
3m,18.21414169672048,-12.14575842349476,32.13100535379887,imd_incidence,2009-09-30,equal_weights_ensemble
4m,13.69875,-9.187425090161426,27.590968709930667,imd_incidence,2009-09-30,equal_weights_ensemble
5m,11.388181648634381,-6.962425090161426,24.908145525393444,imd_incidence,2009-09-30,equal_weights_ensemble
6m,13.303194444444445,-9.604091756828092,27.215053660622324,imd_incidence,2009-09-30,equal_weights_ensemble
1m,26.90151995057631,-27.11151995057631,45.738155603273064,imd_incidence,2009-10-31,equal_weights_ensemble
2m,24.693186617242972,-24.73651995057631,41.95166189443404,imd_incidence,2009-10-31,equal_weights_ensemble
3m,16.80485328390964,-16.86151995057631,32.482768856438305,imd_incidence,2009-10-31,equal_weights_ensemble
4m,12.80367664195482,-12.549019950576309,27.75258597890703,imd_incidence,2009-10-31,equal_weights_ensemble
5m,14.896911970345784,-14.761519950576309,30.111525255617597,imd_incidence,2009-10-31,equal_weights_ensemble
6m,12.879117761303213,-11.861519950576309,27.41169209497421,imd_incidence,2009-10-31,equal_weights_ensemble
1m,22.097175482392423,-22.485508815725755,37.38384616907415,imd_incidence,2009-11-30,equal_weights_ensemble
2m,11.168425482392422,-11.423008815725753,25.57178335905418,imd_incidence,2009-11-30,equal_weights_ensemble
3m,8.208780716353031,-6.860508815725752,21.760867516637887,imd_incidence,2009-11-30,equal_weights_ensemble
4m,11.594421074529546,-10.579258815725751,25.51623108464358,imd_incidence,2009-11-30,equal_weights_ensemble
5m,10.286768429811818,-7.560508815725751,23.552986472329795,imd_incidence,2009-11-30,equal_weights_ensemble
6m,10.540725160797475,-8.318842149059085,23.316628190490263,imd_incidence,2009-11-30,equal_weights_ensemble
1m,0.771274350092277,-1.2387743500922852,13.688775623146087,imd_incidence,2009-12-31,equal_weights_ensemble
2m,1.3349999999999937,0.3862256499077148,13.761753205609336,imd_incidence,2009-12-31,equal_weights_ensemble
3m,8.221535894475203,-7.072107683425618,21.597528690876025,imd_incidence,2009-12-31,equal_weights_ensemble
4m,7.4097916666666634,-4.113774350092285,20.104782188141062,imd_incidence,2009-12-31,equal_weights_ensemble
5m,8.156421536685121,-5.538774350092285,20.37192353758591,imd_incidence,2009-12-31,equal_weights_ensemble
6m,7.8593055555555535,-3.5721076834256187,19.76682317606255,imd_incidence,2009-12-31,equal_weights_ensemble
1m,0.9197535740518603,0.8347535740518595,13.38669768495452,imd_incidence,2010-01-31,equal_weights_ensemble
2m,11.787500000000001,-11.10274642594814,25.854318670234683,imd_incidence,2010-01-31,equal_weights_ensemble
3m,9.434917858017288,-5.998579759281474,22.321894406815375,imd_incidence,2010-01-31,equal_weights_ensemble
4m,9.922708333333336,-7.3839964259481405,22.146949314072966,imd_incidence,2010-01-31,equal_weights_ensemble
5m,9.197950714810373,-4.71524642594814,20.99056056650314,imd_incidence,2010-01-31,equal_weights_ensemble
6m,9.445612302461733,-2.186079759281474,21.133749744053688,imd_incidence,2010-01-31,equal_weights_ensemble
1m,22.63232339885146,-22.87399006551813,38.41415389922929,imd_incidence,2010-02-28,equal_weights_ensemble
2m,13.916666666666668,-8.998990065518129,26.930697825494807,imd_incidence,2010-02-28,equal_weights_ensemble
3m,12.807441132950489,-9.540656732184795,24.746013590882583,imd_incidence,2010-02-28,equal_weights_ensemble
4m,11.523750000000001,-5.311490065518129,23.00773460097728,imd_incidence,2010-02-28,equal_weights_ensemble
5m,11.705535320229709,-1.7739900655181287,23.28666388184252,imd_incidence,2010-02-28,equal_weights_ensemble
6m,10.358392200382847,-0.9156567321847954,21.827057091094353,imd_incidence,2010-02-28,equal_weights_ensemble
1m,4.825580500342056,4.350580500342055,15.147975600016617,imd_incidence,2010-03-31,equal_weights_ensemble
2m,7.762916666666669,-3.274419499657945,17.93357738072053,imd_incidence,2010-03-31,equal_weights_ensemble
3m,7.852415722336242,0.4339138336753881,18.110007833508686,imd_incidence,2010-03-31,equal_weights_ensemble
4m,9.127581916837695,3.569330500342055,19.945113269811433,imd_incidence,2010-03-31,equal_weights_ensemble
5m,8.244681633538567,3.725580500342055,19.0288442200541,imd_incidence,2010-03-31,equal_weights_ensemble
6m,8.562331444672482,4.788080500342055,19.350803222130722,imd_incidence,2010-03-31,equal_weights_ensemble
1m,11.063012787210432,-11.277179453877096,21.111624508319636,imd_incidence,2010-04-30,equal_weights_ensemble
2m,9.188750000000002,-2.152179453877096,19.227089042929116,imd_incidence,2010-04-30,equal_weights_ensemble
3m,10.313717959818746,2.722820546122904,21.05389736535751,imd_incidence,2010-04-30,equal_weights_ensemble
4m,8.964951939728117,3.222820546122904,19.630903297683474,imd_incidence,2010-04-30,equal_weights_ensemble
5m,9.306525661007075,4.672820546122904,20.063858262114476,imd_incidence,2010-04-30,equal_weights_ensemble
6m,8.530245737596523,3.0769872127895703,19.262972607461425,imd_incidence,2010-04-30,equal_weights_ensemble
1m,7.823507682631821,7.819341015965151,17.742007138365572,imd_incidence,2010-05-31,equal_weights_ensemble
2m,10.76267434929849,10.69434101596515,22.192026510858188,imd_incidence,2010-05-31,equal_weights_ensemble
3m,9.112118793742932,9.06934101596515,20.06251912273044,imd_incidence,2010-05-31,equal_weights_ensemble
4m,9.838716015965154,9.81934101596515,20.981818837766685,imd_incidence,2010-05-31,equal_weights_ensemble
5m,8.47977127624576,7.16934101596515,19.702131122816514,imd_incidence,2010-05-31,equal_weights_ensemble
6m,7.24747734397677,6.111007682631818,18.704698195362045,imd_incidence,2010-05-31,equal_weights_ensemble
1m,12.083690846407826,11.907024179741157,23.859410558863637,imd_incidence,2010-06-30,equal_weights_ensemble
2m,8.538690846407825,8.282024179741157,19.427671418466556,imd_incidence,2010-06-30,equal_weights_ensemble
3m,9.491468624185602,9.323690846407823,20.53027771461925,imd_incidence,2010-06-30,equal_weights_ensemble
4m,8.033303756537245,6.032024179741157,19.025937931227062,imd_incidence,2010-06-30,equal_weights_ensemble
5m,6.657547841178028,5.057024179741157,17.91285404027509,imd_incidence,2010-06-30,equal_weights_ensemble
6m,7.004960564271883,5.698690846407824,18.07562668479431,imd_incidence,2010-06-30,equal_weights_ensemble
1m,2.72111853414631,2.8627852008129793,13.161928390929075,imd_incidence,2010-07-31,equal_weights_ensemble
2m,5.827785200812977,5.862785200812979,16.086972994690466,imd_incidence,2010-07-31,equal_weights_ensemble
3m,5.684261733604327,2.029451867479646,15.752851245514382,imd_incidence,2010-07-31,equal_weights_ensemble
4m,4.320208333333334,1.3627852008129793,15.142475444450778,imd_incidence,2010-07-31,equal_weights_ensemble
5m,4.954557040162597,2.5627852008129794,15.552412833285173,imd_incidence,2010-07-31,equal_weights_ensemble
6m,6.1279166666666685,0.11278520081297927,16.64078190354907,imd_incidence,2010-07-31,equal_weights_ensemble
1m,8.642826637093211,8.246993303759883,18.295127929914894,imd_incidence,2010-08-31,equal_weights_ensemble
2m,7.445833333333331,0.7469933037598828,16.835781636825068,imd_incidence,2010-08-31,equal_weights_ensemble
3m,5.319057787635593,0.038659970426549485,15.548547369067041,imd_incidence,2010-08-31,equal_weights_ensemble
