eval_horizon,mae,error,wis,type,frsct_date,method
3m,5.132272158563589,3.2226148410223896,14.57710218185877,imd_incidence,2014-05-31,sarima
4m,5.148082419553512,3.715839431397613,14.490020095277764,imd_incidence,2014-05-31,sarima
5m,4.815751250644496,3.6699568601197767,13.967292894963371,imd_incidence,2014-05-31,sarima
6m,4.490888898058376,3.5360602392877767,13.929914626366122,imd_incidence,2014-05-31,sarima
1m,12.173184508446408,12.173184508446408,25.0383533968577,imd_incidence,2014-06-30,arima
2m,8.13585617368585,8.13585617368585,19.685252278041773,imd_incidence,2014-06-30,arima
3m,7.456746728765665,7.456746728765665,18.510751353787832,imd_incidence,2014-06-30,arima
4m,7.117192006305571,7.117192006305571,17.944457829312427,imd_incidence,2014-06-30,arima
5m,6.113459172829516,6.113459172829516,17.079023134158632,imd_incidence,2014-06-30,arima
6m,5.944303950512146,5.944303950512146,16.810560792879894,imd_incidence,2014-06-30,arima
1m,11.696666666666665,11.0,21.103978658536587,imd_incidence,2014-06-30,eakf_model1
2m,7.59,7.5,14.10769054878049,imd_incidence,2014-06-30,eakf_model1
3m,7.088888888888888,7.0,13.007682926829267,imd_incidence,2014-06-30,eakf_model1
4m,6.731666666666666,6.75,12.27317073170732,imd_incidence,2014-06-30,eakf_model1
5m,5.754666666666666,5.7,10.976582317073172,imd_incidence,2014-06-30,eakf_model1
6m,5.521666666666666,5.416666666666667,10.487212906504064,imd_incidence,2014-06-30,eakf_model1
1m,11.226666666666667,11.0,20.294192073170734,imd_incidence,2014-06-30,eakf_model2
2m,7.481666666666667,7.5,13.84217987804878,imd_incidence,2014-06-30,eakf_model2
3m,6.911111111111111,6.666666666666667,12.500924796747965,imd_incidence,2014-06-30,eakf_model2
4m,6.845833333333333,6.625,12.276516768292682,imd_incidence,2014-06-30,eakf_model2
5m,6.064,5.7,11.14661280487805,imd_incidence,2014-06-30,eakf_model2
6m,6.126666666666668,5.75,11.16643292682927,imd_incidence,2014-06-30,eakf_model2
1m,9.513333333333334,9.0,16.949939024390247,imd_incidence,2014-06-30,eakf_model3
2m,5.955000000000001,5.5,11.318132621951221,imd_incidence,2014-06-30,eakf_model3
3m,5.377777777777777,5.0,10.077433943089432,imd_incidence,2014-06-30,eakf_model3
4m,5.1658333333333335,4.75,9.727122713414635,imd_incidence,2014-06-30,eakf_model3
5m,4.244666666666667,3.6,8.768951219512195,imd_incidence,2014-06-30,eakf_model3
6m,3.7772222222222225,3.1666666666666665,8.14161331300813,imd_incidence,2014-06-30,eakf_model3
1m,10.74033191924903,10.74033191924903,22.039463199081105,imd_incidence,2014-06-30,sarima
2m,6.594888616307706,6.594888616307706,16.82486496347476,imd_incidence,2014-06-30,sarima
3m,6.238943584219459,6.238943584219459,16.08817761223095,imd_incidence,2014-06-30,sarima
4m,5.632241127145249,5.632241127145249,15.113951406323444,imd_incidence,2014-06-30,sarima
5m,5.146015752281884,5.146015752281884,14.886424690884768,imd_incidence,2014-06-30,sarima
6m,5.19257202473527,5.19257202473527,14.937639958060606,imd_incidence,2014-06-30,sarima
1m,0.6779346962953703,-0.6779346962953703,9.376735889534972,imd_incidence,2014-07-31,arima
2m,2.2351819001327815,1.5572472038374112,11.126742451624358,imd_incidence,2014-07-31,arima
3m,2.7542643014119186,2.302307837215005,11.739949025927963,imd_incidence,2014-07-31,arima
4m,2.1175909500663908,1.674838153903802,11.749910402024,imd_incidence,2014-07-31,arima
5m,2.2525585808471513,1.89835634391708,11.907179024935441,imd_incidence,2014-07-31,arima
6m,2.6758703347009916,2.3807018039259322,12.263200593645516,imd_incidence,2014-07-31,arima
1m,2.3966666666666683,2.0,5.954634146341465,imd_incidence,2014-07-31,eakf_model1
2m,3.406666666666668,3.0,6.92703506097561,imd_incidence,2014-07-31,eakf_model1
3m,3.7833333333333337,3.3333333333333335,7.317901422764227,imd_incidence,2014-07-31,eakf_model1
4m,3.065833333333334,2.75,6.835724085365852,imd_incidence,2014-07-31,eakf_model1
5m,3.264666666666667,3.0,7.03125,imd_incidence,2014-07-31,eakf_model1
6m,3.7872222222222223,3.5,7.719435975609756,imd_incidence,2014-07-31,eakf_model1
1m,3.3599999999999994,3.0,6.840731707317072,imd_incidence,2014-07-31,eakf_model2
2m,4.379999999999999,4.0,8.171753048780486,imd_incidence,2014-07-31,eakf_model2
3m,4.795555555555555,4.333333333333333,8.782200203252032,imd_incidence,2014-07-31,eakf_model2
4m,4.166666666666666,3.75,8.101661585365854,imd_incidence,2014-07-31,eakf_model2
5m,4.514666666666665,4.2,8.52327743902439,imd_incidence,2014-07-31,eakf_model2
6m,5.06611111111111,4.833333333333333,9.335248983739834,imd_incidence,2014-07-31,eakf_model2
1m,1.1166666666666671,1.0,4.988399390243901,imd_incidence,2014-07-31,eakf_model3
2m,2.4483333333333333,2.0,5.831242378048781,imd_incidence,2014-07-31,eakf_model3
3m,2.8411111111111116,2.6666666666666665,6.184161585365854,imd_incidence,2014-07-31,eakf_model3
4m,2.292500000000001,1.75,5.885979420731708,imd_incidence,2014-07-31,eakf_model3
5m,2.126666666666667,1.6,5.696780487804879,imd_incidence,2014-07-31,eakf_model3
6m,2.146666666666667,1.6666666666666667,5.5659933943089435,imd_incidence,2014-07-31,eakf_model3
1m,0.6761364662600862,0.6761364662600862,10.036340699789944,imd_incidence,2014-07-31,sarima
2m,2.1772247873620767,2.1772247873620767,11.043877946691559,imd_incidence,2014-07-31,sarima
3m,2.1463802125836495,2.1463802125836495,10.7509369220376,imd_incidence,2014-07-31,sarima
4m,1.9198249990158525,1.9198249990158525,11.089250073398537,imd_incidence,2014-07-31,sarima
5m,2.2389946924475446,2.2389946924475446,11.40256972390897,imd_incidence,2014-07-31,sarima
6m,2.6825847315614055,2.6825847315614055,11.751243841397184,imd_incidence,2014-07-31,sarima
1m,4.006838814736941,4.006838814736941,12.651453024090099,imd_incidence,2014-08-31,arima
2m,3.949634501487153,3.949634501487153,12.79630807194342,imd_incidence,2014-08-31,arima
3m,2.6689462715789802,2.597233063737223,12.422220395010045,imd_incidence,2014-08-31,arima
4m,2.7248172507435764,2.6710323448622586,12.438511401789617,imd_incidence,2014-08-31,arima
5m,3.158339838242334,3.1153119135372798,12.75859526633974,imd_incidence,2014-08-31,arima
6m,3.4473548965748386,3.411498292653961,12.985929139125622,imd_incidence,2014-08-31,arima
1m,4.050000000000001,4.0,7.368521341463413,imd_incidence,2014-08-31,eakf_model1
2m,3.9416666666666673,4.0,7.380571646341464,imd_incidence,2014-08-31,eakf_model1
3m,2.638888888888889,2.6666666666666665,6.55086382113821,imd_incidence,2014-08-31,eakf_model1
4m,2.6799999999999997,2.5,6.426951219512195,imd_incidence,2014-08-31,eakf_model1
5m,3.196,3.0,7.000237804878049,imd_incidence,2014-08-31,eakf_model1
6m,3.598333333333333,3.3333333333333335,7.462136686991869,imd_incidence,2014-08-31,eakf_model1
1m,4.859999999999999,5.0,8.551219512195123,imd_incidence,2014-08-31,eakf_model2
2m,5.234999999999999,5.5,8.997217987804879,imd_incidence,2014-08-31,eakf_model2
3m,4.038888888888889,4.0,7.95344512195122,imd_incidence,2014-08-31,eakf_model2
4m,4.439166666666667,4.25,8.490038109756098,imd_incidence,2014-08-31,eakf_model2
5m,5.088666666666667,5.0,9.475286585365854,imd_incidence,2014-08-31,eakf_model2
6m,5.577222222222223,5.5,10.185716463414634,imd_incidence,2014-08-31,eakf_model2
1m,3.4000000000000004,4.0,6.8310975609756115,imd_incidence,2014-08-31,eakf_model3
2m,3.4450000000000003,3.5,6.723224085365855,imd_incidence,2014-08-31,eakf_model3
3m,2.3977777777777782,2.3333333333333335,6.096676829268293,imd_incidence,2014-08-31,eakf_model3
4m,2.4483333333333337,2.25,6.090903201219512,imd_incidence,2014-08-31,eakf_model3
5m,2.7353333333333336,2.4,6.265585365853657,imd_incidence,2014-08-31,eakf_model3
6m,2.7744444444444447,2.5,6.156209349593495,imd_incidence,2014-08-31,eakf_model3
1m,3.5937995465357915,3.5937995465357915,11.816315574058109,imd_incidence,2014-08-31,sarima
2m,2.7992126686068737,2.7992126686068737,10.88824704634457,imd_incidence,2014-08-31,sarima
3m,2.2500483429917053,2.2500483429917053,11.217148112702796,imd_incidence,2014-08-31,sarima
4m,2.5447873336772417,2.5447873336772417,11.516226314823852,imd_incidence,2014-08-31,sarima
5m,2.9989173812020833,2.9989173812020833,11.862577431368667,imd_incidence,2014-08-31,sarima
6m,3.495715755023616,3.495715755023616,12.408529731361607,imd_incidence,2014-08-31,sarima
1m,2.660141442812124,2.660141442812124,10.866573741808146,imd_incidence,2014-09-30,arima
2m,1.6863071531381237,0.9738342896740004,10.991274034341362,imd_incidence,2014-09-30,arima
3m,1.886713814270708,1.4117319052946258,11.206763722988649,imd_incidence,2014-09-30,arima
4m,2.486917144837,2.1306807131049386,11.656590402978633,imd_incidence,2014-09-30,arima
5m,2.8470391431767754,2.562049997791126,11.943567628477771,imd_incidence,2014-09-30,arima
6m,4.157944763224667,0.3496295209152513,13.154962057916467,imd_incidence,2014-09-30,arima
1m,3.6500000000000004,4.0,6.992667682926829,imd_incidence,2014-09-30,eakf_model1
2m,1.9900000000000002,1.5,5.824496951219513,imd_incidence,2014-09-30,eakf_model1
3m,2.186666666666667,1.6666666666666667,5.810111788617886,imd_incidence,2014-09-30,eakf_model1
4m,2.7666666666666666,2.25,6.316604420731706,imd_incidence,2014-09-30,eakf_model1
5m,3.0453333333333332,2.6,6.5573658536585375,imd_incidence,2014-09-30,eakf_model1
6m,4.393888888888889,0.16666666666666666,8.823828760162602,imd_incidence,2014-09-30,eakf_model1
1m,4.023333333333333,4.0,7.270884146341463,imd_incidence,2014-09-30,eakf_model2
2m,2.123333333333333,1.5,6.054771341463414,imd_incidence,2014-09-30,eakf_model2
3m,2.495555555555555,2.0,6.2904725609756085,imd_incidence,2014-09-30,eakf_model2
4m,3.394166666666666,3.0,7.337423780487805,imd_incidence,2014-09-30,eakf_model2
5m,3.9306666666666663,3.6,7.947152439024389,imd_incidence,2014-09-30,eakf_model2
6m,4.654444444444445,1.5833333333333333,9.053965955284555,imd_incidence,2014-09-30,eakf_model2
1m,2.6799999999999997,3.0,5.3453506097561,imd_incidence,2014-09-30,eakf_model3
2m,1.7266666666666657,1.0,5.108589939024391,imd_incidence,2014-09-30,eakf_model3
3m,1.877777777777777,1.3333333333333333,5.310294715447155,imd_incidence,2014-09-30,eakf_model3
4m,2.3241666666666663,1.75,5.677560975609757,imd_incidence,2014-09-30,eakf_model3
5m,2.5126666666666666,2.0,5.80966768292683,imd_incidence,2014-09-30,eakf_model3
6m,4.236666666666667,-0.5,8.760950203252035,imd_incidence,2014-09-30,eakf_model3
1m,1.5822938161207336,1.5822938161207336,9.41619403046024,imd_incidence,2014-09-30,sarima
2m,1.1059875247051751,1.1059875247051751,10.369950378954057,imd_incidence,2014-09-30,sarima
3m,1.7139714389925533,1.7139714389925533,10.80903369387263,imd_incidence,2014-09-30,sarima
4m,2.369439088907973,2.369439088907973,11.217214986139748,imd_incidence,2014-09-30,sarima
5m,2.988179450942509,2.988179450942509,11.81745423308324,imd_incidence,2014-09-30,sarima
6m,4.1684929978575385,0.8118060870466423,12.883719613853554,imd_incidence,2014-09-30,sarima
1m,1.5500575049304715,-1.5500575049304715,10.181541666636903,imd_incidence,2014-10-31,arima
2m,1.715479770033764,0.1654222651032926,10.616891482661043,imd_incidence,2014-10-31,arima
3m,2.4372871917348617,1.403915521781214,11.17865325239849,imd_incidence,2014-10-31,arima
4m,2.7981909025854104,2.0231621501201746,11.480854033691815,imd_incidence,2014-10-31,arima
5m,4.462372315040917,-0.605289872876449,13.090548826433617,imd_incidence,2014-10-31,arima
6m,4.238493256677921,-1.0242578882075313,12.892624535816486,imd_incidence,2014-10-31,arima
1m,0.8633333333333315,-1.0,4.717118902439024,imd_incidence,2014-10-31,eakf_model1
2m,1.4116666666666662,0.5,4.9875685975609745,imd_incidence,2014-10-31,eakf_model1
3m,2.321111111111111,1.6666666666666667,5.778135162601627,imd_incidence,2014-10-31,eakf_model1
4m,2.8408333333333333,2.25,6.273845274390244,imd_incidence,2014-10-31,eakf_model1
5m,4.4046666666666665,-0.4,8.900768292682924,imd_incidence,2014-10-31,eakf_model1
6m,4.131111111111111,-0.8333333333333334,8.469336890243902,imd_incidence,2014-10-31,eakf_model1
1m,0.6433333333333344,0.0,4.87969512195122,imd_incidence,2014-10-31,eakf_model2
2m,2.2733333333333334,2.0,6.0562499999999995,imd_incidence,2014-10-31,eakf_model2
