,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2014,Lyme disease cummulative for 2013,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2014,Malaria cummulative for 2013,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2014","Meningococcal diseases, invasive �, All groups cummulative for 2013"
60,2014,4,Ala.,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0
61,2014,4,Ky.,0,0,9,1,1,1,0,1,1,2,0,0,0,0,1
62,2014,4,Miss.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
63,2014,4,Tenn.,0,0,3,1,1,0,0,3,2,2,0,0,1,1,0
64,2014,4,W.S. CENTRAL,0,1,5,0,0,0,1,7,0,1,1,1,3,4,0
65,2014,4,Ark.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
66,2014,4,La.,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
67,2014,4,Okla.,0,0,1,0,0,0,0,3,0,0,0,0,2,2,0
68,2014,4,Tex.,0,1,5,0,0,0,1,6,0,0,1,0,3,1,0
69,2014,4,MOUNTAIN,1,2,9,1,1,0,1,6,1,3,0,0,4,2,3
70,2014,4,Ariz.,0,0,3,0,0,0,0,3,1,2,0,0,3,1,1
71,2014,4,Colo.,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1
72,2014,4,Idaho,1,0,3,1,1,0,0,1,0,0,0,0,1,0,0
73,2014,4,Mont.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
74,2014,4,Nev.,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
75,2014,4,N. Mex.,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
76,2014,4,Utah,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
77,2014,4,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
78,2014,4,PACIFIC,0,3,8,0,6,1,2,8,5,3,3,2,8,13,19
79,2014,4,Alaska,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0
80,2014,4,Calif.,0,1,6,0,4,1,1,7,5,3,0,2,6,4,18
81,2014,4,Hawaii,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
82,2014,4,Oreg.,0,1,3,0,1,0,0,1,0,0,0,0,3,6,1
83,2014,4,Wash.,0,0,3,0,0,0,0,3,0,0,3,0,5,3,0
84,2014,4,Amer. Samoa,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
85,2014,4,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2014,4,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2014,4,P.R.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
88,2014,4,V.I.,N,0,0,N,N,0,0,0,0,0,0,0,0,0,0
22,2014,5,UNITED STATES,31,372,"2,174",254,"1,059",13,25,50,74,101,6,9,21,38,79
23,2014,5,NEW ENGLAND,0,119,878,17,330,0,2,8,4,7,1,0,3,1,5
24,2014,5,Conn.,0,30,251,7,127,0,0,0,0,0,0,0,1,0,1
25,2014,5,Maine,0,15,99,6,22,0,0,2,2,0,0,0,1,0,1
26,2014,5,Mass.,0,36,437,4,136,0,1,4,2,5,1,0,3,1,2
27,2014,5,N.H.,0,6,91,0,32,0,0,2,0,2,0,0,1,0,0
28,2014,5,R.I.,0,9,54,0,1,0,0,8,0,0,0,0,0,0,1
29,2014,5,Vt.,0,8,92,0,12,0,0,3,0,0,0,0,1,0,0
30,2014,5,MID. ATLANTIC,22,186,"1,004",179,506,4,8,21,25,20,0,1,7,1,8
