,year,mmwr_week,Reporting Area,"Meningococcal diseases, invasive �, All groups current week","Meningococcal diseases, invasive �, All groups previous 52 weeks median ","Meningococcal diseases, invasive �, All groups previous 52 weeks maximum ","Meningococcal diseases, invasive �, All groups cummulative for 2013","Meningococcal diseases, invasive �, All groups cummulative for 2012",Mumps current week,Mumps previous 52 weeks median ,Mumps previous 52 weeks maximum ,Mumps cummulative for 2013,Mumps cummulative for 2012,Pertussis current week,Pertussis previous 52 weeks median ,Pertussis previous 52 weeks maximum ,Pertussis cummulative for 2013,Pertussis cummulative for 2012
81,2013,3,Hawaii,0,0,1,0,0,0,0,1,0,0,0,1,10,1,17
82,2013,3,Oreg.,0,0,4,1,3,0,0,1,0,0,0,13,54,3,19
83,2013,3,Wash.,0,0,3,0,0,0,0,1,0,0,0,83,254,0,0
84,2013,3,Amer. Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2013,3,C.N.M.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2013,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2013,3,P.R.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
88,2013,3,V.I.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2013,4,UNITED STATES,7,10,19,37,49,0,4,8,4,20,141,795,"1,297",740,"1,950"
23,2013,4,NEW ENGLAND,0,0,3,0,0,0,0,1,0,0,7,45,100,73,97
24,2013,4,Conn.,0,0,1,0,0,0,0,0,0,0,0,4,9,1,3
25,2013,4,Maine,0,0,1,0,0,0,0,0,0,0,6,14,37,37,16
26,2013,4,Mass.,0,0,2,0,0,0,0,1,0,0,0,12,28,0,27
27,2013,4,N.H.,0,0,0,0,0,0,0,1,0,0,0,2,19,2,7
28,2013,4,R.I.,0,0,0,0,0,0,0,1,0,0,0,1,20,2,2
29,2013,4,Vt.,0,0,1,0,0,0,0,0,0,0,1,9,42,31,42
