,year,mmwr_week,Reporting Area,Lyme disease current week,Lyme disease previous 52 weeks median ,Lyme disease previous 52 weeks maximum ,Lyme disease cummulative for 2007,Lyme disease cummulative for 2006,Malaria current week,Malaria previous 52 weeks median ,Malaria previous 52 weeks maximum ,Malaria cummulative for 2007,Malaria cummulative for 2006,"Meningococcal diseases, invasive �, all serogroups current week","Meningococcal diseases, invasive �, all serogroups previous 52 weeks median ","Meningococcal diseases, invasive �, all serogroups previous 52 weeks maximum ","Meningococcal diseases, invasive �, all serogroups cummulative for 2007","Meningococcal diseases, invasive �, all serogroups cummulative for 2006"
27,2007,3,N.H.,0,3,95,0,3,0,0,3,0,0,0,0,2,0,0
28,2007,3,R.I.,0,0,93,0,0,0,0,1,0,0,0,0,1,0,0
29,2007,3,Vt.,0,1,15,1,0,0,0,1,0,0,0,0,1,0,0
30,2007,3,MID. ATLANTIC,101,139,556,150,138,1,5,13,4,14,1,3,11,2,16
31,2007,3,N.J.,0,27,185,1,52,0,0,3,0,4,0,0,2,0,1
32,2007,3,N.Y. (Upstate),6,59,250,26,6,1,1,7,3,0,0,0,4,0,2
33,2007,3,N.Y. City,0,1,18,0,0,0,3,9,1,7,0,1,4,1,7
34,2007,3,Pa.,95,36,231,123,80,0,1,4,0,3,1,0,4,1,6
35,2007,3,E.N. CENTRAL,0,11,153,1,14,1,2,7,3,8,2,2,12,4,11
36,2007,3,Ill.,0,0,0,0,0,0,1,5,1,5,0,0,3,0,5
37,2007,3,Ind.,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0
38,2007,3,Mich.,0,1,5,1,2,0,0,2,0,0,1,0,3,1,2
39,2007,3,Ohio,0,0,5,0,2,1,0,3,2,1,1,1,4,3,2
40,2007,3,Wis.,0,10,149,0,10,0,0,2,0,2,0,0,2,0,2
41,2007,3,W.N. CENTRAL,0,5,169,1,0,1,0,14,1,4,1,1,4,4,4
42,2007,3,Iowa,0,1,8,0,0,0,0,1,0,0,0,0,2,0,0
43,2007,3,Kans.,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0
44,2007,3,Minn.,0,2,167,0,0,0,0,12,0,2,0,0,3,0,0
45,2007,3,Mo.,0,0,2,0,0,0,0,1,0,1,1,0,2,4,1
46,2007,3,Nebr.,0,0,2,0,0,1,0,1,1,0,0,0,2,0,3
47,2007,3,N. Dak.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
48,2007,3,S. Dak.,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
49,2007,3,S. ATLANTIC,9,32,121,55,54,4,6,14,10,15,4,4,14,9,4
50,2007,3,Del.,3,7,28,18,14,0,0,1,0,0,0,0,1,0,1
51,2007,3,D.C.,0,0,7,0,1,0,0,2,0,0,0,0,1,0,0
52,2007,3,Fla.,1,1,5,3,1,1,1,4,3,3,2,2,7,5,2
53,2007,3,Ga.,0,0,1,0,1,0,1,6,2,6,0,0,3,2,0
54,2007,3,Md.,5,16,78,34,33,2,1,5,4,2,1,0,2,1,1
55,2007,3,N.C.,0,0,4,0,4,1,0,4,1,3,0,0,11,0,0
56,2007,3,S.C.,0,0,2,0,0,0,0,2,0,0,1,0,2,1,0
57,2007,3,Va.,0,4,29,0,0,0,1,4,0,1,0,0,4,0,0
58,2007,3,W. Va.,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0
59,2007,3,E.S. CENTRAL,0,0,3,0,0,0,0,3,1,1,0,1,3,2,1
60,2007,3,Ala.,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0
61,2007,3,Ky.,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
62,2007,3,Miss.,0,0,1,0,0,0,0,1,1,0,0,0,2,2,0
63,2007,3,Tenn.,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0
64,2007,3,W.S. CENTRAL,0,0,3,0,0,0,1,7,0,1,0,1,4,1,1
65,2007,3,Ark.,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
66,2007,3,La.,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
67,2007,3,Okla.,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
68,2007,3,Tex.,0,0,3,0,0,0,1,6,0,1,0,0,3,1,0
69,2007,3,MOUNTAIN,0,0,3,0,0,0,1,6,0,2,0,1,5,0,8
70,2007,3,Ariz.,0,0,2,0,0,0,0,3,0,1,0,0,3,0,2
71,2007,3,Colo.,0,0,1,0,0,0,0,2,0,1,0,0,2,0,4
72,2007,3,Idaho,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
73,2007,3,Mont.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
74,2007,3,Nev.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
75,2007,3,N. Mex.,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
76,2007,3,Utah,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2
77,2007,3,Wyo.,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
78,2007,3,PACIFIC,0,3,10,2,3,0,4,13,3,14,0,5,16,6,26
79,2007,3,Alaska,0,0,1,0,0,0,0,4,0,2,0,0,1,0,1
80,2007,3,Calif.,0,2,8,2,3,0,3,8,0,11,0,3,10,4,13
81,2007,3,Hawaii,N,0,0,N,N,0,0,2,0,0,0,0,2,0,0
82,2007,3,Oreg.,0,0,2,0,0,0,0,3,3,1,0,0,4,1,11
83,2007,3,Wash.,0,0,1,0,0,0,0,4,0,0,0,0,5,1,1
84,2007,3,Amer. Samoa,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
85,2007,3,C.N.M.I.,U,0,0,U,U,U,0,0,U,U,U,0,0,0,0
86,2007,3,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2007,3,P.R.,N,0,0,N,N,0,0,1,0,0,0,0,1,0,0
